method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_bad_macro_f1_mean,strict_stable_macro_f1_mean,strict_collapsed_count_mean,full_overall_macro_f1_mean,full_bad_macro_f1_mean,full_stable_macro_f1_mean,full_collapsed_count_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_std,strict_stable_macro_f1_std,strict_collapsed_count_std,full_overall_macro_f1_std,full_bad_macro_f1_std,full_stable_macro_f1_std,full_collapsed_count_std
active_head_ft,margin,1000,3,0.6859,0.2547,0.8926,5.6667,0.6862,0.2557,0.8926,5.6667,0.0017,0.0118,0.0027,0.5774,0.0017,0.0117,0.0027,0.5774
static,,0,3,0.6286,0.0276,0.9028,12.0000,0.6286,0.0276,0.9028,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
