period,supported_classes,collapsed_classes,severely_collapsed_classes,collapsed_fraction,mean_recall_supported,median_recall_supported
M-2022-4,177,0,0,0.0,0.8589281427763562,0.9079016221873365
M-2022-5,178,2,0,0.011235955056179775,0.8352809973278437,0.8967590992591082
M-2022-6,176,2,1,0.011363636363636364,0.8076056331281666,0.8721104567609286
M-2022-7,174,5,2,0.028735632183908046,0.768457665439434,0.8522361482778427
M-2022-8,173,6,4,0.03468208092485549,0.7477888261632325,0.8250805742748315
M-2022-9,175,8,3,0.045714285714285714,0.7062171503791382,0.8089244851258581
M-2022-10,176,7,4,0.03977272727272727,0.6943678913398373,0.7809130050031656
M-2022-11,177,10,6,0.05649717514124294,0.6604817703837125,0.7493564993564994
M-2022-12,175,12,8,0.06857142857142857,0.6495954778730056,0.7318702290076335
