period,class_id,support,precision,recall,f1,delta_recall_from_ref,delta_f1_from_ref,is_collapsed,top_confusion_target,top_confusion_count,top_confusion_rate
M-2022-12,19,22936,0.7239438324658032,0.521494593651901,0.6062648892493284,-0.37315842113763253,-0.2929918288753143,0,142,3891,0.16964597139867457
M-2022-4,20,1281,0.8068763716166789,0.8610460577673692,0.8330815709969789,0.0,0.0,0,19,30,0.0234192037470726
M-2022-5,20,2201,0.8738317757009346,0.8496138119036801,0.8615526376410966,-0.011432245863689072,0.028471066644117693,0,24,50,0.02271694684234439
M-2022-6,20,1495,0.8370464672183323,0.8795986622073578,0.857795172863666,0.01855260443998863,0.02471360186668714,0,142,37,0.024749163879598662
M-2022-7,20,1273,0.8870326173428799,0.8758837391987431,0.8814229249011858,0.014837681431373873,0.04834135390420691,0,24,24,0.018853102906520033
M-2022-8,20,1430,0.8288227334235453,0.8566433566433567,0.842503438789546,-0.004402701124012531,0.009421867792567151,0,142,61,0.04265734265734266
M-2022-9,20,1992,0.6655132641291811,0.8689759036144579,0.7537557152188112,0.007929845847088668,-0.07932585577816764,0,19,39,0.01957831325301205
M-2022-10,20,2388,0.5920745920745921,0.8509212730318257,0.6982817869415807,-0.010124784735543457,-0.13479978405539816,0,147,57,0.02386934673366834
M-2022-11,20,2049,0.4962195463455615,0.864812103465105,0.6306049822064057,0.0037660456977357537,-0.20247658879057318,0,21,44,0.021473889702293802
M-2022-12,20,1125,0.4394394394394394,0.7804444444444445,0.5622798591098302,-0.0806016133229247,-0.27080171188714863,0,19,96,0.08533333333333333
