method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,margin,1000,3,0.6642,0.0017,0.2191,0.0039,0.8776,0.0023,5.0000,0.0000,0.6644,0.0017,0.2199,0.0039,0.8776,0.0023,5.0000,0.0000
active_head_ft,margin,200,3,0.6286,0.0027,0.1130,0.0009,0.8669,0.0079,10.0000,0.0000,0.6286,0.0027,0.1131,0.0009,0.8669,0.0079,10.0000,0.0000
active_head_ft,margin,500,3,0.6423,0.0015,0.1532,0.0012,0.8875,0.0033,6.6667,1.1547,0.6424,0.0015,0.1534,0.0012,0.8875,0.0033,6.6667,1.1547
static,,0,3,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000
