method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,margin,1000,5,0.6729,0.0007,0.2318,0.0025,0.8847,0.0029,5.4000,0.5477,0.6732,0.0007,0.2328,0.0025,0.8848,0.0029,5.4000,0.5477
active_head_ft,margin,200,5,0.6371,0.0014,0.1154,0.0044,0.8757,0.0070,10.0000,0.0000,0.6371,0.0014,0.1155,0.0044,0.8757,0.0070,10.0000,0.0000
active_head_ft,margin,500,5,0.6499,0.0014,0.1562,0.0099,0.8896,0.0040,6.8000,1.0954,0.6500,0.0014,0.1565,0.0099,0.8896,0.0041,6.8000,1.0954
static,,0,5,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000
