method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,head_type,hidden_dim
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
original_head,margin,1000,0.8078744302235089,0.6839611984172657,0.4443507897533624,0.24231295994428736,27287,0.9413776596851737,0.8900048153485949,144143,6,3,original,
prime_expanded,margin,1000,0.6562569721281261,0.5144629763271213,0.5202110895298128,0.30848205029150316,27287,0.8485323602256093,0.7011272015892446,144143,5,1,expanded,512
prime_expanded_nokd,margin,1000,0.5633933305047764,0.4444610878606772,0.5625389379558031,0.27853459946334064,27287,0.7457941072407263,0.6368099510186817,144143,3,2,expanded_nokd,512
