period,input_dir,static_overall_macro_f1,caps_overall_macro_f1,delta_overall_macro_f1,static_bad_macro_f1,caps_bad_macro_f1,delta_bad_macro_f1,static_stable_macro_f1,caps_stable_macro_f1,delta_stable_macro_f1,best_alpha,best_tau_conf,best_momentum,accepted_rate,num_updated_classes
M-2022-7,outputs/caps_target_prototype_tls22_M-2022-7,0.7401953796542524,0.7403540128898983,0.0001586332356459108,0.5407301228263706,0.539408013456748,-0.001322109369622515,0.8321626795809953,0.8315107252543322,-0.0006519543266630956,2.0,0.8,0.9,0.43994534149502673,176
M-2022-10,outputs/caps_target_prototype_tls22_M-2022-10,0.6836051344755893,0.6861482873986695,0.002543152923080161,0.35349660992346554,0.35990248968481964,0.006405879761354094,0.9089863032292651,0.9108379053160315,0.0018516020867663796,2.0,0.8,0.9,0.4041085515538579,174
M-2022-12,outputs/caps_target_prototype_tls22_M-2022-12,0.6286470835004149,0.6318859915033578,0.0032389080029429085,0.15439573308329985,0.16386298094198393,0.00946724785868408,0.9027706369575663,0.8994140980579953,-0.0033565388995709933,5.0,0.8,0.9,0.39198052642437553,177
