period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-7,139,156,5,1011,0.051434223541048464,0.04451038575667656,-0.006923837784371903,52,45,-7
M-2022-7,164,117,1,1702,0.14806110458284372,0.154524089306698,0.006462984723854287,252,263,11
M-2022-7,164,149,2,1702,0.05346650998824912,0.046415981198589897,-0.00705052878965922,91,79,-12
M-2022-7,164,124,3,1702,0.03760282021151586,0.04054054054054054,0.0029377203290246803,64,69,5
M-2022-7,164,122,4,1702,0.028789659224441832,0.013513513513513514,-0.015276145710928318,49,23,-26
M-2022-7,164,138,5,1702,0.027614571092831962,0.01762632197414806,-0.0099882491186839,47,30,-17
M-2022-7,174,2,1,1067,0.21649484536082475,0.2211808809746954,0.004686035613870654,231,236,5
M-2022-7,174,28,2,1067,0.1471415182755389,0.16213683223992503,0.014995313964386137,157,173,16
M-2022-7,174,117,3,1067,0.10402999062792877,0.08997188378631678,-0.01405810684161199,111,96,-15
M-2022-7,174,93,4,1067,0.07122774133083412,0.06841611996251172,-0.0028116213683224006,76,73,-3
M-2022-7,174,143,5,1067,0.04873477038425492,0.046860356138706656,-0.001874414245548267,52,50,-2
M-2022-10,5,14,1,2902,0.12715368711233632,0.10441075120606479,-0.022742935906271536,369,303,-66
M-2022-10,5,6,2,2902,0.06064782908339077,0.059269469331495524,-0.0013783597518952431,176,172,-4
M-2022-10,5,124,3,2902,0.04686423156443832,0.04962095106822881,0.0027567195037904862,136,144,8
M-2022-10,5,151,4,2902,0.024121295658166782,0.015851137146795313,-0.00827015851137147,70,46,-24
M-2022-10,5,177,5,2902,0.013439007580978636,0.015506547208821502,0.0020675396278428664,39,45,6
M-2022-10,6,5,1,2429,0.5384932070811034,0.5524907369287773,0.013997529847673884,1308,1342,34
M-2022-10,6,14,2,2429,0.03417044051049815,0.03211198023878139,-0.0020584602717167583,83,78,-5
M-2022-10,6,151,3,2429,0.016467682173734045,0.01029230135858378,-0.006175380815150266,40,25,-15
M-2022-10,6,124,4,2429,0.011939069575957185,0.015232606010703994,0.0032935364347468094,29,37,8
M-2022-10,6,149,5,2429,0.009057225195553726,0.008233841086867023,-0.0008233841086867037,22,20,-2
M-2022-10,10,156,1,1434,0.2112970711297071,0.20571827057182707,-0.005578800557880043,303,295,-8
M-2022-10,10,138,2,1434,0.14295676429567644,0.13110181311018132,-0.011854951185495122,205,188,-17
M-2022-10,10,117,3,1434,0.0899581589958159,0.06764295676429567,-0.022315202231520226,129,97,-32
M-2022-10,10,12,4,1434,0.02301255230125523,0.022315202231520222,-0.0006973500697350088,33,32,-1
M-2022-10,10,61,5,1434,0.02301255230125523,0.028591352859135284,0.005578800557880053,33,41,8
M-2022-10,11,153,1,2001,0.28735632183908044,0.26636681659170414,-0.020989505247376306,575,533,-42
M-2022-10,11,93,2,2001,0.13843078460769614,0.13693153423288357,-0.0014992503748125774,277,274,-3
M-2022-10,11,133,3,2001,0.053973013493253376,0.05247376311844078,-0.0014992503748125982,108,105,-3
M-2022-10,11,148,4,2001,0.035982008995502246,0.041979010494752625,0.005997001499250379,72,84,12
M-2022-10,11,2,5,2001,0.03248375812093953,0.03698150924537731,0.004497751124437781,65,74,9
M-2022-10,12,156,1,2580,0.1868217054263566,0.1806201550387597,-0.006201550387596899,482,466,-16
M-2022-10,12,61,2,2580,0.05,0.04922480620155039,-0.0007751937984496124,129,127,-2
M-2022-10,12,132,3,2580,0.01821705426356589,0.020155038759689922,0.001937984496124031,47,52,5
M-2022-10,12,117,4,2580,0.014728682170542635,0.010465116279069767,-0.004263565891472868,38,27,-11
M-2022-10,12,28,5,2580,0.013565891472868217,0.013565891472868217,0.0,35,35,0
M-2022-10,14,129,1,10007,0.23333666433496553,0.23153792345358248,-0.001798740881383043,2335,2317,-18
M-2022-10,14,61,2,10007,0.0620565604077146,0.062256420505646046,0.00019986009793144383,621,623,2
M-2022-10,14,63,3,10007,0.05556110722494254,0.06425502148496053,0.008693914260017983,556,643,87
M-2022-10,14,153,4,10007,0.052763065853902266,0.04906565404217048,-0.0036974118117317836,528,491,-37
