victim,absorber,mechanism,fisher_ref,fisher_tgt,delta_fisher_pct,centroid_shift,margin_ref,margin_tgt,margin_drop,absorber_conf_ref,absorber_conf_tgt,absorber_conf_rise
56,96,feature,0.8861907124519348,0.6266418695449829,-29.28814749015205,6.96217679977417,13.173002243041992,2.1643331050872803,11.008669137954712,0.003470598952844739,0.18272897601127625,0.1792583770584315
163,46,feature,0.30819904804229736,0.2649284601211548,-14.039818810603238,5.415523052215576,1.9464625120162964,1.2762690782546997,0.6701934337615967,0.07700944691896439,0.30632874369621277,0.22931929677724838
174,2,feature,0.6345229744911194,0.3258940577507019,-48.63951805495058,7.102757453918457,7.523662567138672,1.4610161781311035,6.062646389007568,0.00045823605614714324,0.23535650968551636,0.23489827362936921
48,14,boundary,0.5607813000679016,0.7300717830657959,30.18832528427676,8.801102638244629,10.772722244262695,1.8515639305114746,8.92115831375122,2.869784293579869e-05,0.31908246874809265,0.31905377090515685
38,45,feature,0.7297078967094421,0.6016771197319031,-17.545483275552222,7.998084545135498,3.720829486846924,1.5815125703811646,2.1393169164657593,3.302901859569829e-06,0.4491207003593445,0.4491173974574849
69,105,boundary,0.29307880997657776,0.42647430300712585,45.515229518370425,6.443212985992432,3.856846332550049,1.6398848295211792,2.2169615030288696,0.023833908140659332,0.34213706851005554,0.3183031603693962
104,2,feature,0.43121203780174255,0.36104899644851685,-16.271123067645995,6.597011089324951,3.1805126667022705,1.2461259365081787,1.9343867301940918,0.004191940650343895,0.19595521688461304,0.19176327623426914
47,5,feature,0.7808958292007446,0.5131441950798035,-34.287753130271916,6.998319625854492,10.148652076721191,1.636728048324585,8.511924028396606,7.025570880614396e-07,0.3627782464027405,0.3627775438456524
66,71,feature,0.6330835819244385,0.39067429304122925,-38.29025041943702,8.156315803527832,5.940286159515381,1.7747269868850708,4.16555917263031,0.0008627931820228696,0.12296447902917862,0.12210168584715575
10,156,boundary,0.4351457953453064,0.5672774314880371,30.364911612642086,5.635217189788818,3.664473056793213,1.7865204811096191,1.8779525756835938,0.031364090740680695,0.3324349522590637,0.301070861518383
109,71,feature,0.8752540946006775,0.36114493012428284,-58.738275850163234,11.73366928100586,7.14605712890625,1.4793061017990112,5.666751027107239,4.505694505496649e-06,0.21486298739910126,0.21485848170459576
26,13,feature,0.36680734157562256,0.187981978058815,-48.75184960820643,5.9293389320373535,4.276902675628662,1.569898009300232,2.70700466632843,0.018117422237992287,0.19002865254878998,0.1719112303107977
