method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,1,0.5,2.0,150,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,margin,200,stable_absorber,5,1,0.5,2.0,150,10,36,0.7713708467463676,0.6377807664002622,0.25135451749890175,0.09953911102330226,27316,0.948503093698843,0.8731480130965477,144164,10,6,0.7713895327263837,0.6378109342785095,0.2514089145868404,0.09963765524827506,27326,0.9484920789057515,0.8731320603560278,144172,10,6,350,0.19158145785331726
active_head_ft,margin,500,stable_absorber,5,1,0.5,2.0,150,20,82,0.7830583588928647,0.6497161684484076,0.2767889841060573,0.11748080069023642,27306,0.9492834052471663,0.8943239224152331,144154,10,6,0.7830791193361089,0.6497784837852473,0.27691575788626216,0.11762781131950291,27326,0.9492689287795134,0.8943410023238061,144172,10,6,650,0.18453998863697052
active_head_ft,margin,1000,stable_absorber,5,1,0.5,2.0,150,39,155,0.8007879119275103,0.6693243921409046,0.3908454575438854,0.14497695064971053,27287,0.9441943070423121,0.8905365552155391,144143,9,5,0.8007956294791,0.6695010709914164,0.39094635146014783,0.14533924467571416,27326,0.9441569791637766,0.8905636844193815,144172,9,5,1150,0.18442761898040771
