method,alpha,tau_conf,momentum,accepted_rate,num_updated_classes,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
static,,,,,,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.7,0.9,0.40018394397341656,177,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.7,0.99,0.41775308733408956,178,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.7,0.999,0.42999359899155776,178,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.8,0.9,0.3830773055910957,177,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.8,0.99,0.40122911453724186,178,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.8,0.999,0.4116135604645908,178,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.9,0.9,0.36022638560672415,176,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.9,0.99,0.3719084149455612,176,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.9,0.999,0.3800974736799148,176,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.95,0.9,0.3309495181861945,174,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.95,0.99,0.34542698202654265,176,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.0,0.95,0.999,0.3510178510295648,174,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
caps_target_proto,0.5,0.7,0.9,0.40018394397341656,177,0.7531251204440048,0.6297732782888054,0.16457786434075705,0.1559937494338319,47236,0.9418056210637294,0.902722122487986,144172
