method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,replay_type,replay_samples,gan_epochs,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,,
iletc_gan_replay,margin,1000,0.7907730052812334,0.6533683529084634,0.4709935133946568,0.23368129255395964,27287,0.9252617192648966,0.8644582270125312,144143,5,2,gan,890,50,0.7908608411695934,0.6536342646462396,0.47160213715874993,0.23445703004759835,27326,0.9252628804483534,0.8645009695599171,144172,5,2
iletc_real_replay,margin,1000,0.7909492228653282,0.6630270144750138,0.4645435555392678,0.22248155803221256,27287,0.9246928397494155,0.8582027712840015,144143,6,3,real,890,,,,,,,,,,,
