method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,replay_type,replay_samples,gan_epochs,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,,
iletc_gan_replay,margin,1000,0.7907419970368219,0.6550729312234022,0.4801187378605197,0.21804704014735854,27287,0.9305134484504971,0.840269661141123,144143,6,3,gan,890,50,0.7908336349943963,0.6553411243928069,0.48075093317719386,0.21885102739683437,27326,0.9305135532558333,0.8403158596245749,144172,6,3
iletc_real_replay,margin,1000,0.7833627911655243,0.6548625669968905,0.46806171436947996,0.2295796151984637,27287,0.9224242592425578,0.8318892314389356,144143,5,3,real,890,,,,,,,,,,,
