method,beta,top_absorbers,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,,139,156,5,46,0.047276464542651594,973
static,,,164,138,1,177,0.10479573712255773,1689
static,,,164,117,2,147,0.08703374777975133,1689
static,,,164,149,3,99,0.0586145648312611,1689
static,,,164,124,4,60,0.035523978685612786,1689
static,,,164,96,5,17,0.010065127294256957,1689
static,,,174,2,1,440,0.291970802919708,1507
static,,,174,133,2,283,0.18779031187790313,1507
static,,,174,28,3,250,0.16589250165892502,1507
static,,,174,19,4,102,0.0676841406768414,1507
static,,,174,23,5,100,0.06635700066357,1507
best_oracle_pair,0.5,5,5,14,1,104,0.0962962962962963,1080
best_oracle_pair,0.5,5,5,6,2,59,0.05462962962962963,1080
best_oracle_pair,0.5,5,5,124,3,53,0.049074074074074076,1080
best_oracle_pair,0.5,5,5,151,4,29,0.026851851851851852,1080
best_oracle_pair,0.5,5,5,83,5,20,0.018518518518518517,1080
best_oracle_pair,0.5,5,6,5,1,944,0.5605700712589073,1684
best_oracle_pair,0.5,5,6,14,2,64,0.03800475059382423,1684
best_oracle_pair,0.5,5,6,151,3,35,0.020783847980997625,1684
best_oracle_pair,0.5,5,6,149,4,14,0.00831353919239905,1684
best_oracle_pair,0.5,5,6,83,5,9,0.005344418052256532,1684
best_oracle_pair,0.5,5,10,156,1,364,0.36254980079681276,1004
best_oracle_pair,0.5,5,10,138,2,248,0.24701195219123506,1004
best_oracle_pair,0.5,5,10,117,3,107,0.10657370517928287,1004
best_oracle_pair,0.5,5,10,132,4,34,0.03386454183266932,1004
best_oracle_pair,0.5,5,10,61,5,31,0.030876494023904383,1004
best_oracle_pair,0.5,5,11,153,1,444,0.2538593481989708,1749
best_oracle_pair,0.5,5,11,93,2,269,0.1538021726700972,1749
best_oracle_pair,0.5,5,11,133,3,131,0.07489994282447113,1749
best_oracle_pair,0.5,5,11,148,4,49,0.02801600914808462,1749
best_oracle_pair,0.5,5,11,176,5,39,0.022298456260720412,1749
best_oracle_pair,0.5,5,12,156,1,55,0.20912547528517111,263
best_oracle_pair,0.5,5,12,117,2,47,0.17870722433460076,263
best_oracle_pair,0.5,5,12,63,3,28,0.10646387832699619,263
best_oracle_pair,0.5,5,12,125,4,15,0.057034220532319393,263
best_oracle_pair,0.5,5,12,50,5,8,0.030418250950570342,263
best_oracle_pair,0.5,5,14,129,1,1195,0.20529118708125751,5821
best_oracle_pair,0.5,5,14,63,2,341,0.05858099982820821,5821
best_oracle_pair,0.5,5,14,61,3,297,0.05102216114069748,5821
best_oracle_pair,0.5,5,14,153,4,257,0.0441504896065968,5821
best_oracle_pair,0.5,5,14,86,5,180,0.030922521903453015,5821
best_oracle_pair,0.5,5,26,13,1,174,0.21561338289962825,807
best_oracle_pair,0.5,5,26,49,2,98,0.12143742255266418,807
best_oracle_pair,0.5,5,26,136,3,74,0.09169764560099132,807
best_oracle_pair,0.5,5,26,46,4,65,0.080545229244114,807
best_oracle_pair,0.5,5,26,61,5,57,0.07063197026022305,807
best_oracle_pair,0.5,5,28,49,1,1063,0.18280309544282028,5815
best_oracle_pair,0.5,5,28,117,2,395,0.06792777300085985,5815
best_oracle_pair,0.5,5,28,158,3,321,0.05520206362854686,5815
best_oracle_pair,0.5,5,28,95,4,266,0.045743766122098024,5815
best_oracle_pair,0.5,5,28,142,5,262,0.045055889939810835,5815
best_oracle_pair,0.5,5,38,45,1,89,0.46113989637305697,193
best_oracle_pair,0.5,5,38,39,2,52,0.2694300518134715,193
best_oracle_pair,0.5,5,38,105,3,7,0.03626943005181347,193
best_oracle_pair,0.5,5,38,133,4,7,0.03626943005181347,193
best_oracle_pair,0.5,5,38,125,5,5,0.025906735751295335,193
best_oracle_pair,0.5,5,47,5,1,284,0.459546925566343,618
best_oracle_pair,0.5,5,47,6,2,96,0.1553398058252427,618
best_oracle_pair,0.5,5,47,7,3,57,0.09223300970873786,618
best_oracle_pair,0.5,5,47,151,4,42,0.06796116504854369,618
best_oracle_pair,0.5,5,47,102,5,33,0.05339805825242718,618
best_oracle_pair,0.5,5,48,14,1,1327,0.39482296935435884,3361
best_oracle_pair,0.5,5,48,177,2,1093,0.32520083308539127,3361
best_oracle_pair,0.5,5,48,170,3,561,0.1669146087473966,3361
best_oracle_pair,0.5,5,48,6,4,202,0.06010116036893782,3361
best_oracle_pair,0.5,5,48,5,5,42,0.012496280868789051,3361
best_oracle_pair,0.5,5,56,96,1,3052,0.2514624701326522,12137
best_oracle_pair,0.5,5,56,165,2,3015,0.24841394084205323,12137
best_oracle_pair,0.5,5,56,118,3,2514,0.20713520639367225,12137
best_oracle_pair,0.5,5,56,14,4,1155,0.09516354947680646,12137
best_oracle_pair,0.5,5,56,71,5,573,0.047211007662519566,12137
best_oracle_pair,0.5,5,66,71,1,270,0.13810741687979539,1955
best_oracle_pair,0.5,5,66,142,2,266,0.1360613810741688,1955
best_oracle_pair,0.5,5,66,49,3,240,0.12276214833759591,1955
best_oracle_pair,0.5,5,66,78,4,154,0.07877237851662404,1955
best_oracle_pair,0.5,5,66,108,5,140,0.07161125319693094,1955
best_oracle_pair,0.5,5,69,105,1,703,0.3767416934619507,1866
best_oracle_pair,0.5,5,69,39,2,197,0.10557341907824223,1866
best_oracle_pair,0.5,5,69,60,3,181,0.0969989281886388,1866
best_oracle_pair,0.5,5,69,125,4,151,0.08092175777063237,1866
best_oracle_pair,0.5,5,69,18,5,136,0.07288317256162916,1866
best_oracle_pair,0.5,5,104,2,1,370,0.2121559633027523,1744
best_oracle_pair,0.5,5,104,117,2,299,0.17144495412844038,1744
best_oracle_pair,0.5,5,104,133,3,272,0.1559633027522936,1744
best_oracle_pair,0.5,5,104,19,4,254,0.14564220183486237,1744
best_oracle_pair,0.5,5,104,110,5,111,0.06364678899082568,1744
best_oracle_pair,0.5,5,109,71,1,98,0.24936386768447838,393
best_oracle_pair,0.5,5,109,158,2,79,0.2010178117048346,393
best_oracle_pair,0.5,5,109,140,3,62,0.15776081424936386,393
best_oracle_pair,0.5,5,109,116,4,27,0.06870229007633588,393
best_oracle_pair,0.5,5,109,142,5,26,0.06615776081424936,393
best_oracle_pair,0.5,5,118,25,1,971,0.37679472254559565,2577
best_oracle_pair,0.5,5,118,96,2,20,0.007760962359332557,2577
best_oracle_pair,0.5,5,118,117,3,13,0.005044625533566162,2577
best_oracle_pair,0.5,5,118,90,4,12,0.004656577415599534,2577
best_oracle_pair,0.5,5,118,124,5,12,0.004656577415599534,2577
best_oracle_pair,0.5,5,139,133,1,146,0.1500513874614594,973
best_oracle_pair,0.5,5,139,32,2,106,0.10894141829393628,973
best_oracle_pair,0.5,5,139,61,3,83,0.08530318602261049,973
best_oracle_pair,0.5,5,139,153,4,49,0.050359712230215826,973
best_oracle_pair,0.5,5,139,156,5,46,0.047276464542651594,973
best_oracle_pair,0.5,5,164,138,1,170,0.10065127294256956,1689
best_oracle_pair,0.5,5,164,117,2,146,0.08644168146832445,1689
best_oracle_pair,0.5,5,164,149,3,99,0.0586145648312611,1689
best_oracle_pair,0.5,5,164,124,4,61,0.036116044997039666,1689
best_oracle_pair,0.5,5,164,96,5,17,0.010065127294256957,1689
best_oracle_pair,0.5,5,174,2,1,426,0.28268082282680823,1507
best_oracle_pair,0.5,5,174,133,2,283,0.18779031187790313,1507
best_oracle_pair,0.5,5,174,28,3,268,0.17783676177836763,1507
best_oracle_pair,0.5,5,174,19,4,102,0.0676841406768414,1507
best_oracle_pair,0.5,5,174,23,5,100,0.06635700066357,1507
