class,group,reference_support,target_support,static_f1,best_pair_f1,delta_f1,static_recall,best_pair_recall,delta_recall
0,other,1414,950,0.8807339449541285,0.8812095032397408,0.0004755582856122986,0.8589473684210527,0.8589473684210527,0.0
1,other,10792,3117,0.7320779649818302,0.7329254175624277,0.0008474525805974853,0.7109400064164261,0.7109400064164261,0.0
2,other,7583,3678,0.47664695084642056,0.4776210913549969,0.0009741405085763599,0.6353996737357259,0.6353996737357259,0.0
3,other,1593,743,0.9085173501577287,0.9085173501577287,0.0,0.9690444145356663,0.9690444145356663,0.0
4,other,3737,869,0.7423423423423423,0.7423423423423423,0.0,0.9482163406214039,0.9482163406214039,0.0
5,bad,2093,1080,0.4354605833092694,0.4334862385321101,-0.001974344777159298,0.6981481481481482,0.7,0.0018518518518517713
6,bad,2729,1684,0.44360902255639095,0.44386030792339465,0.0002512853670036952,0.3503562945368171,0.3509501187648456,0.0005938242280285055
7,other,36,33,0.125,0.12727272727272726,0.0022727272727272596,0.21212121212121213,0.21212121212121213,0.0
8,stable,1574,1142,0.8680459770114942,0.8680459770114942,0.0,0.8266199649737302,0.8266199649737302,0.0
9,other,1547,910,0.23937007874015748,0.23937007874015748,0.0,0.16703296703296702,0.16703296703296702,0.0
10,bad,2020,1004,0.16184971098265896,0.16748768472906403,0.005637973746405067,0.09760956175298804,0.10159362549800798,0.003984063745019931
11,bad,1685,1749,0.22343522561863174,0.22438672438672438,0.0009514987680926401,0.1755288736420812,0.17781589479702686,0.0022870211549456676
12,bad,2788,263,0.23184357541899442,0.23013698630136986,-0.0017065891176245573,0.3155893536121673,0.3193916349809886,0.0038022813688213253
13,other,2093,1090,0.3990514905149051,0.39932203389830506,0.0002705433833999349,0.5403669724770642,0.5403669724770642,0.0
14,bad,10401,5821,0.2579329472224488,0.2581166209013083,0.00018367367885951946,0.271602817385329,0.2745232777873218,0.002920460401992786
15,stable,751,715,0.8106551475881929,0.8106551475881929,0.0,0.7874125874125875,0.7874125874125875,0.0
16,other,2008,1186,0.22592791823561054,0.22592791823561054,0.0,0.17706576728499157,0.17706576728499157,0.0
17,other,10007,8301,0.8305555555555556,0.8305555555555556,0.0,0.9004939163956149,0.9004939163956149,0.0
18,other,21926,25658,0.8718385454833535,0.8719076197833106,6.907429995706149e-05,0.857822121755398,0.857822121755398,0.0
19,other,13185,22936,0.6062648892493284,0.6063263547422315,6.146549290309e-05,0.521494593651901,0.521494593651901,0.0
20,other,1281,1125,0.5622798591098302,0.5624599615631006,0.000180102453270381,0.7804444444444445,0.7804444444444445,0.0
21,other,2620,2095,0.828643216080402,0.828643216080402,0.0,0.7871121718377089,0.7871121718377089,0.0
22,other,4636,743,0.6884236453201971,0.6884236453201971,0.0,0.7523553162853297,0.7523553162853297,0.0
23,other,12840,5114,0.8492664236987197,0.8493457943925233,7.937069380359318e-05,0.8885412592882284,0.8885412592882284,0.0
24,other,10253,4154,0.5630001569119724,0.5630001569119724,0.0,0.43187289359653347,0.43187289359653347,0.0
25,other,54557,34385,0.8588748146952195,0.858891922839778,1.710814455846421e-05,0.8508942852988222,0.8507488730551113,-0.00014541224371089623
26,bad,2293,807,0.024539877300613498,0.024473147518694765,-6.672978191873263e-05,0.022304832713754646,0.022304832713754646,0.0
27,other,19386,7371,0.9089068825910931,0.9088279950835081,-7.888750758500152e-05,0.8528015194681862,0.8526658526658527,-0.00013566680233345618
28,bad,16366,5815,0.3217811384162991,0.3216739537788882,-0.00010718463741088424,0.26345657781599313,0.2656921754084265,0.002235597592433358
29,other,29653,30274,0.8087042946068944,0.8087399295504482,3.563494355374175e-05,0.7660038316707406,0.7659708000264254,-3.303164431522898e-05
30,other,8131,645,0.8975206611570248,0.8975206611570248,0.0,0.8418604651162791,0.8418604651162791,0.0
31,other,7973,952,0.8941747572815534,0.8941747572815534,0.0,0.967436974789916,0.967436974789916,0.0
32,other,2331,998,0.3008015087223008,0.2966461974492206,-0.00415531127308022,0.3196392785571142,0.31462925851703405,-0.005010020040080165
33,other,204,630,0.6793206793206793,0.6793206793206793,0.0,0.5396825396825397,0.5396825396825397,0.0
34,other,588,1240,0.5924453280318092,0.5924453280318092,0.0,0.4806451612903226,0.4806451612903226,0.0
35,other,875,930,0.7747972551466001,0.7747972551466001,0.0,0.667741935483871,0.667741935483871,0.0
36,other,826,216,0.3619047619047619,0.3619047619047619,0.0,0.2638888888888889,0.2638888888888889,0.0
37,other,1989,866,0.9060773480662984,0.9060773480662984,0.0,0.8521939953810623,0.8521939953810623,0.0
38,bad,77,193,0.08968609865470852,0.09777777777777778,0.008091679123069268,0.05181347150259067,0.05699481865284974,0.005181347150259072
39,other,4388,4483,0.9025587467362924,0.9027473101431108,0.00018856340681838724,0.9638634842739238,0.9638634842739238,0.0
40,other,2334,737,0.6259808195292066,0.6259808195292066,0.0,0.4871099050203528,0.4871099050203528,0.0
41,other,2121,1636,0.6569659442724458,0.6569659442724458,0.0,0.6485330073349633,0.6485330073349633,0.0
42,other,1839,1444,0.40711462450592883,0.40711462450592883,0.0,0.2853185595567867,0.2853185595567867,0.0
43,other,2042,1992,0.7986024457199901,0.7983025461807289,-0.0002998995392611281,0.8032128514056225,0.802710843373494,-0.0005020080321285203
44,stable,2910,1181,0.9479717813051146,0.9479717813051146,0.0,0.9102455546147333,0.9102455546147333,0.0
45,other,2192,1463,0.788781163434903,0.788781163434903,0.0,0.7785372522214627,0.7785372522214627,0.0
46,other,9798,7420,0.6391033964327205,0.6392344497607656,0.00013105332804508318,0.630188679245283,0.630188679245283,0.0
47,bad,3839,618,0.0,0.0,0.0,0.0,0.0,0.0
48,bad,5001,3361,0.0017709563164108619,0.001768867924528302,-2.088391882559956e-06,0.0008925914906277894,0.0008925914906277894,0.0
49,other,40220,31563,0.8421558075999669,0.8421035202172401,-5.228738272677891e-05,0.8057218895542249,0.8056585242213985,-6.336533282635948e-05
