method,beta,top_absorbers,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
static,,,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
oracle_pair,0.0,1,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
oracle_pair,0.1,1,0.751918224283174,0.6287044380551328,0.16421796934541452,0.15423137034969148,47236,0.9412229836584081,0.9027770672015023,144172
oracle_pair,0.5,1,0.7518335828492272,0.6286984880852197,0.1647472266915065,0.1537555571015497,47236,0.9412021751796465,0.9028227010901176,144172
oracle_pair,1.0,1,0.751750452869458,0.6286723084479443,0.1658904225590651,0.15322035396938108,47236,0.9411883028604722,0.9028228662623139,144172
oracle_pair,2.0,1,0.751498795748884,0.6283191582441994,0.16754170547887204,0.15108297063899634,47236,0.9410703881474904,0.9029525506466495,144172
oracle_pair,5.0,1,0.7504657168184796,0.6278613115335356,0.17427385892116182,0.14774904055375054,47236,0.9407860056044169,0.9034771096627715,144172
oracle_pair,10.0,1,0.7467226005475999,0.6253014283378137,0.18380049115081717,0.13580455015780996,47236,0.9385248175790029,0.9017275586915939,144172
oracle_pair,0.0,3,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
oracle_pair,0.1,3,0.7519318273707726,0.6287439573127334,0.16447201287153865,0.15446827500647764,47236,0.9412229836584081,0.9027770672015023,144172
oracle_pair,0.5,3,0.7518721249307565,0.6288275839238424,0.1652129731560674,0.1545478110093756,47236,0.9412021751796465,0.9027909155651928,144172
oracle_pair,1.0,3,0.7518154453990957,0.6288067797897615,0.16641967990515708,0.1544442099991768,47236,0.941181366700885,0.9028029174823887,144172
oracle_pair,2.0,3,0.751618200628916,0.6286110615434346,0.16853670928952494,0.15336309076392235,47236,0.9410981327858391,0.9028099729031327,144172
oracle_pair,5.0,3,0.7507763206519809,0.6284376385429697,0.17520535185028369,0.15216190062471904,47236,0.9406888993701967,0.9031706400391372,144172
oracle_pair,10.0,3,0.7485174523835254,0.6277954642976168,0.18716656787196206,0.14648414765521672,47236,0.9394889437616181,0.9027150724607378,144172
oracle_pair,0.0,5,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
oracle_pair,0.1,5,0.7519265372811509,0.6287425717893671,0.16438733169616393,0.1543954011726895,47236,0.9412229836584081,0.9027831139543876,144172
oracle_pair,0.5,5,0.7518600332973355,0.6288396158894187,0.16517063256838005,0.1546379490903917,47236,0.9412021751796465,0.9028238307873394,144172
oracle_pair,1.0,5,0.7517829491342768,0.6287619446392493,0.16633499872978236,0.15433940446433134,47236,0.9411744305412979,0.9027846140152805,144172
oracle_pair,2.0,5,0.7515713455494099,0.6286567866155163,0.16870607164027437,0.15349805213598347,47236,0.941091196626252,0.9028039273160238,144172
oracle_pair,5.0,5,0.7506501142281494,0.628327097471346,0.17537471420103312,0.15143557650664854,47236,0.940702771689371,0.9031076918438121,144172
oracle_pair,10.0,5,0.74810784830139,0.6277754211450379,0.18843678550258278,0.14588795399295879,47236,0.9393294120911134,0.9026174539898975,144172
