method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.6286470835004149,0.027576567124341363,0.9027706369575663,12,
Tent,0.6230579075517689,0.01912124541966691,0.8978962861258198,12,6.7
EATA,0.6287957279980495,0.02751074571812014,0.9028595260096756,12,8.3
SAR,0.6291948612997963,0.024994523900834134,0.901089528899894,12,7.8
CoTTA,0.6307222348942929,0.026341221423372335,0.9039740858500431,12,8.5
NOTE,0.6272087301169174,0.02732893698473618,0.8995431721701108,12,49.0
