method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,head_type,hidden_dim
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
original_head,margin,1000,0.8081043450113407,0.6864188564767173,0.43848719170300876,0.26575525411978645,27287,0.93782563149095,0.8954736534376337,144143,5,3,original,
prime_expanded,margin,1000,0.6828514576521919,0.5474451020656764,0.548393007659325,0.4256629760202668,27287,0.8737781231138522,0.7837270598177334,144143,3,1,expanded,512
prime_expanded_nokd,margin,1000,0.5889577372754644,0.45414178050277215,0.5996994905999193,0.36084484542107376,27287,0.7936771123120789,0.6885574612216683,144143,3,1,expanded_nokd,512
