method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.6195492167693935,0.03642294514667084,0.8710206512615792,11,
BN-Adapt,0.6195492167693935,0.03642294514667084,0.8710206512615792,11,5.8
Tent,0.617600223972961,0.0371807535166195,0.8721455535100759,11,8.7
EATA,0.6194896225352085,0.036422036296470554,0.8711275765946306,11,16.4
CoTTA,0.6190365624159462,0.03698343174198972,0.8709962645677303,11,30.4
SAR,0.6179200974682959,0.03662639647830652,0.8712864799684878,11,19.5
NOTE,0.6184098074224593,0.03741945521315248,0.871342728633284,11,55.4
