method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,margin,1000,5,0.6381,0.0005,0.1340,0.0012,0.8380,0.0007,7.0000,0.0000,0.6383,0.0005,0.1342,0.0011,0.8380,0.0007,7.0000,0.0000
active_head_ft,margin,200,5,0.5988,0.0017,0.0603,0.0030,0.8534,0.0022,10.0000,0.0000,0.5988,0.0017,0.0603,0.0030,0.8534,0.0022,10.0000,0.0000
active_head_ft,margin,500,5,0.6115,0.0006,0.1139,0.0010,0.8544,0.0003,10.0000,0.0000,0.6116,0.0006,0.1140,0.0010,0.8544,0.0003,10.0000,0.0000
static,,0,5,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000
