class_id,pattern,absorber,final_support,gn_recall,gn_f1,in_recall,in_f1,bn_recall,bn_f1,ln_recall,ln_f1,bn_static_recall,bn_static_f1,adabn_recall,adabn_f1,delta_in_vs_gn,delta_adabn_vs_bn
56,abrupt,96,12137,0.00041196341764851283,0.0007871536523929471,0.000576748784707918,0.001148576585445894,0.00041196341764851283,0.0007896399241945673,0.00041196341764851283,0.0008168599901976801,0.00041196341764851283,0.0007896399241945673,0.00041196341764851283,0.0008200082000820008,0.00016478536705940514,0.0
163,gradual,46,1741,0.015508328546812177,0.025738798856053385,0.00402067777139575,0.006097560975609756,0.014933946008041356,0.02389705882352941,0.012062033314187249,0.020771513353115726,0.014933946008041356,0.02389705882352941,0.015508328546812177,0.024226110363391656,-0.011487650775416428,0.0005743825387708214
174,abrupt,2,1507,0.0,0.0,0.0,0.0,0.0013271400132714001,0.002642007926023778,0.0,0.0,0.0013271400132714001,0.002642007926023778,0.0013271400132714001,0.002628120893561104,0.0,0.0
48,abrupt,14,3361,0.0008925914906277894,0.0017709563164108619,0.0002975304968759298,0.0005846243788365975,0.0017851829812555787,0.0027784209307710117,0.001487652484379649,0.002935995302407516,0.0017851829812555787,0.0027784209307710117,0.001487652484379649,0.0027956388034665923,-0.0005950609937518596,-0.0002975304968759298
38,abrupt,45,193,0.05181347150259067,0.08968609865470852,0.02072538860103627,0.0380952380952381,0.07253886010362694,0.10486891385767791,0.04145077720207254,0.06837606837606838,0.07253886010362694,0.10486891385767791,0.07253886010362694,0.11475409836065574,-0.0310880829015544,0.0
69,abrupt,105,1866,0.00482315112540193,0.008430913348946136,0.0005359056806002144,0.0009799118079372856,0.0,0.0,0.001607717041800643,0.0027829313543599257,0.0,0.0,0.0,0.0,-0.004287245444801715,0.0
104,gradual,2,1744,0.00974770642201835,0.016456921587608905,0.169151376146789,0.25213675213675213,0.0028669724770642203,0.004972650422675286,0.020642201834862386,0.03298213467704993,0.0028669724770642203,0.004972650422675286,0.010894495412844037,0.018095238095238095,0.15940366972477063,0.008027522935779817
47,gradual,5,618,0.0,0.0,0.0,0.0,0.01779935275080906,0.03374233128834356,0.0048543689320388345,0.009104704097116844,0.01779935275080906,0.03374233128834356,0.012944983818770227,0.02335766423357664,0.0,-0.0048543689320388345
66,abrupt,71,1955,0.0010230179028132991,0.001658374792703151,0.0,0.0,0.003069053708439898,0.004728132387706856,0.0005115089514066496,0.0008054772452678212,0.003069053708439898,0.004728132387706856,0.0010230179028132991,0.001693480101608806,-0.0010230179028132991,-0.0020460358056265987
10,gradual,156,1004,0.09760956175298804,0.16184971098265896,0.0647410358565737,0.10108864696734059,0.12250996015936255,0.20812182741116753,0.10458167330677291,0.17100977198697068,0.12250996015936255,0.20812182741116753,0.10458167330677291,0.18087855297157623,-0.03286852589641434,-0.01792828685258964
109,abrupt,71,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,abrupt,13,807,0.022304832713754646,0.024539877300613498,0.03345724907063197,0.040754716981132075,0.05204460966542751,0.04131824889326119,0.058240396530359353,0.06578026592022393,0.05204460966542751,0.04131824889326119,0.028500619578686492,0.0310391363022942,0.011152416356877321,-0.023543990086741018
