method,confidence_threshold,class_id,full_support,full_recall,full_f1,silver_count
self_evolving,0.9,56,12137,0.00032957073411881023,0.0006568144499178982,10
self_evolving,0.9,163,1741,0.002871912693854107,0.005040322580645161,12
self_evolving,0.9,174,1507,0.0,0.0,5
self_evolving,0.9,48,3361,0.001487652484379649,0.002952465308532625,3
self_evolving,0.9,38,193,0.06217616580310881,0.09561752988047809,15
self_evolving,0.9,69,1866,0.0010718113612004287,0.0019646365422396855,21
self_evolving,0.9,104,1744,0.0,0.0,25
self_evolving,0.9,47,618,0.0,0.0,9
self_evolving,0.9,66,1955,0.0,0.0,42
self_evolving,0.9,10,1004,0.06772908366533864,0.11971830985915492,19
self_evolving,0.9,109,393,0.0,0.0,8
self_evolving,0.9,26,807,0.028500619578686492,0.04170444242973708,32
self_evolving,0.95,56,12137,0.0004943561011782154,0.0009849790691947797,6
self_evolving,0.95,163,1741,0.0,0.0,0
self_evolving,0.95,174,1507,0.0,0.0,3
self_evolving,0.95,48,3361,0.0011901219875037191,0.0023675643681562593,2
self_evolving,0.95,38,193,0.06217616580310881,0.09917355371900827,14
self_evolving,0.95,69,1866,0.0010718113612004287,0.0020491803278688526,10
self_evolving,0.95,104,1744,0.0,0.0,14
self_evolving,0.95,47,618,0.0,0.0,3
self_evolving,0.95,66,1955,0.0,0.0,18
self_evolving,0.95,10,1004,0.08266932270916334,0.14497816593886462,5
self_evolving,0.95,109,393,0.0,0.0,3
self_evolving,0.95,26,807,0.01858736059479554,0.02717391304347826,14
self_evolving,0.99,56,12137,0.0009063195188267282,0.001807278403023084,0
self_evolving,0.99,163,1741,0.0,0.0,0
self_evolving,0.99,174,1507,0.0,0.0,1
self_evolving,0.99,48,3361,0.001487652484379649,0.0029411764705882353,1
self_evolving,0.99,38,193,0.06735751295336788,0.09454545454545454,6
self_evolving,0.99,69,1866,0.001607717041800643,0.003031834259727135,1
self_evolving,0.99,104,1744,0.0,0.0,6
self_evolving,0.99,47,618,0.0,0.0,0
self_evolving,0.99,66,1955,0.0,0.0,0
self_evolving,0.99,10,1004,0.01593625498007968,0.029906542056074768,0
self_evolving,0.99,109,393,0.0,0.0,1
self_evolving,0.99,26,807,0.004956629491945477,0.009557945041816009,0
self_evolving,0.997,56,12137,0.0008239268352970257,0.0016394786457906386,0
self_evolving,0.997,163,1741,0.0011487650775416428,0.0022038567493112946,0
self_evolving,0.997,174,1507,0.0,0.0,0
self_evolving,0.997,48,3361,0.0005950609937518596,0.001177856301531213,0
self_evolving,0.997,38,193,0.06735751295336788,0.08813559322033898,1
self_evolving,0.997,69,1866,0.0005359056806002144,0.0010183299389002036,0
self_evolving,0.997,104,1744,0.0011467889908256881,0.0021941854086670325,0
self_evolving,0.997,47,618,0.0016181229773462784,0.002560819462227913,0
self_evolving,0.997,66,1955,0.0010230179028132991,0.0018256503879507074,0
self_evolving,0.997,10,1004,0.053784860557768925,0.0944055944055944,0
self_evolving,0.997,109,393,0.0,0.0,0
self_evolving,0.997,26,807,0.006195786864931847,0.011337868480725623,0
