method,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,strategy,rectification,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,,
memento,1000,0.8046737743613247,0.6784958733998986,0.4186242533074358,0.2589832303515602,27287,0.9377215681649473,0.8936875180599767,144143,6,2,margin,True,890,0.8047851127809321,0.6787998925145382,0.4192344287491766,0.2602583583384943,27326,0.9377132869073052,0.8937359808118123,144172,6,2
memento_no_rect,1000,0.8047115892935339,0.6786008122395768,0.4186609007952505,0.25872791339286727,27287,0.9378117563808163,0.8937376099161053,144143,6,2,margin,False,890,0.8048228991353726,0.6789055095769324,0.4192710239332504,0.26001701212721723,27326,0.9378034569819382,0.8937859884987178,144172,6,2
