method,confidence_threshold,class_id,silver_true_count,silver_pseudo_count,silver_class_accuracy,holdout_support,holdout_recall,holdout_f1,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
self_evolving,0.9,56,2681,7,0.5714285714285714,2442,0.0,0.0,9456,0.0,0.0,12137,0.00032957073411881023,0.0006563833278634722
self_evolving,0.9,163,149,10,0.1,347,0.0,0.0,1592,0.000628140703517588,0.0011655011655011655,1741,0.0011487650775416428,0.0021333333333333334
self_evolving,0.9,174,260,5,0.0,294,0.0,0.0,1247,0.0,0.0,1507,0.0,0.0
self_evolving,0.9,48,349,3,0.0,660,0.0,0.0,3012,0.0013280212483399733,0.002642007926023778,3361,0.0011901219875037191,0.002366863905325444
self_evolving,0.9,38,31,12,0.4166666666666667,41,0.07317073170731707,0.09523809523809523,162,0.04938271604938271,0.07655502392344497,193,0.06735751295336788,0.10317460317460317
self_evolving,0.9,69,213,16,0.0,377,0.0,0.0,1653,0.0006049606775559589,0.0011031439602868175,1866,0.0005359056806002144,0.0009794319294809011
self_evolving,0.9,104,79,21,0.0,362,0.0,0.0,1665,0.0,0.0,1744,0.0,0.0
self_evolving,0.9,47,69,7,0.0,125,0.0,0.0,549,0.0,0.0,618,0.0,0.0
self_evolving,0.9,66,291,30,0.0,379,0.0,0.0,1664,0.0,0.0,1955,0.0,0.0
self_evolving,0.9,10,186,16,0.75,202,0.06435643564356436,0.11304347826086956,818,0.07579462102689487,0.12614445574771108,1004,0.07370517928286853,0.1248945147679325
self_evolving,0.9,109,37,6,0.0,74,0.0,0.0,356,0.0,0.0,393,0.0,0.0
self_evolving,0.9,26,100,26,0.11538461538461539,150,0.02,0.02666666666666667,707,0.031117397454031116,0.04131455399061033,807,0.030978934324659233,0.041981528127623846
self_evolving,0.95,56,1478,5,0.6,2442,0.0,0.0,10659,0.00018763486255746317,0.0003737269924320284,12137,0.00041196341764851283,0.0008206138191367143
self_evolving,0.95,163,67,0,,347,0.0,0.0,1674,0.0,0.0,1741,0.0,0.0
self_evolving,0.95,174,94,3,0.0,294,0.0,0.0,1413,0.0,0.0,1507,0.0,0.0
self_evolving,0.95,48,317,2,0.0,660,0.0,0.0,3044,0.001314060446780552,0.002611818478615736,3361,0.0011901219875037191,0.002365464222353637
self_evolving,0.95,38,15,11,0.45454545454545453,41,0.07317073170731707,0.09523809523809523,178,0.03932584269662921,0.05785123966942149,193,0.06217616580310881,0.08955223880597014
self_evolving,0.95,69,25,6,0.0,377,0.005305039787798408,0.009852216748768473,1841,0.005431830526887561,0.010116337885685382,1866,0.0053590568060021436,0.0099601593625498
self_evolving,0.95,104,24,10,0.0,362,0.0,0.0,1720,0.0,0.0,1744,0.0,0.0
self_evolving,0.95,47,46,2,0.0,125,0.0,0.0,572,0.0,0.0,618,0.0,0.0
self_evolving,0.95,66,205,13,0.0,379,0.0,0.0,1750,0.0,0.0,1955,0.0,0.0
self_evolving,0.95,10,104,4,0.75,202,0.06930693069306931,0.12121212121212122,900,0.09888888888888889,0.16776625824693686,1004,0.09163346613545817,0.15739948674080412
self_evolving,0.95,109,14,2,0.0,74,0.0,0.0,379,0.0,0.0,393,0.0,0.0
self_evolving,0.95,26,69,14,0.14285714285714285,150,0.006666666666666667,0.010869565217391304,738,0.01084010840108401,0.017167381974248927,807,0.012391573729863693,0.019704433497536946
self_evolving,0.99,56,137,0,,2442,0.0,0.0,12000,0.0003333333333333333,0.0006655574043261231,12137,0.00032957073411881023,0.0006580570864522497
self_evolving,0.99,163,6,0,,347,0.0,0.0,1735,0.0,0.0,1741,0.0,0.0
self_evolving,0.99,174,6,1,0.0,294,0.0,0.0,1501,0.0,0.0,1507,0.0,0.0
self_evolving,0.99,48,114,1,0.0,660,0.0,0.0,3247,0.0012319063751154912,0.002443494196701283,3361,0.0011901219875037191,0.002360578341693715
self_evolving,0.99,38,3,4,0.75,41,0.07317073170731707,0.09523809523809523,190,0.05263157894736842,0.08,193,0.06735751295336788,0.10116731517509728
self_evolving,0.99,69,1,0,,377,0.0,0.0,1865,0.0005361930294906167,0.0010526315789473684,1866,0.0005359056806002144,0.0010520778537611783
self_evolving,0.99,104,8,5,0.0,362,0.0,0.0,1736,0.0,0.0,1744,0.0,0.0
self_evolving,0.99,47,12,0,,125,0.0,0.0,606,0.0,0.0,618,0.0,0.0
self_evolving,0.99,66,80,0,,379,0.0,0.0,1875,0.0,0.0,1955,0.0,0.0
