method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.6286470835004149,0.027576567124341363,0.9027706369575663,12,
BN-Adapt,0.6286470835004149,0.027576567124341363,0.9027706369575663,12,5.7
Tent,0.6313162612187095,0.025656172261991392,0.9026378534244742,12,6.1
EATA,0.6288112363075804,0.027625479952258013,0.9028341187038127,12,6.3
CoTTA,0.6294293868578751,0.02731540716548494,0.9032409917123048,12,8.1
SAR,0.629327375889016,0.0263185441166206,0.9012480585701876,11,7.3
NOTE,0.6301470576244891,0.027167979074420905,0.902224178190445,12,45.3
