config,recall_threshold,support_threshold,n_collapse_classes,collapse_classes,static_overall_macro_f1,care_overall_macro_f1,static_collapse_f1,care_collapse_f1,delta_collapse_f1,static_stable_f1,care_stable_f1,care_collapsed_count
tau0.05_sup100,0.05,100,10,"[26, 47, 48, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.009776959188314874,0.29631719348738134,0.28654023429906644,0.9427418591319293,0.9320541060635094,5
tau0.05_sup200,0.05,200,10,"[26, 47, 48, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.009776959188314874,0.29631719348738134,0.28654023429906644,0.9427418591319293,0.9320541060635094,5
tau0.05_sup50,0.05,50,10,"[26, 47, 48, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.009776959188314874,0.29631719348738134,0.28654023429906644,0.9427418591319293,0.9320541060635094,5
tau0.15_sup100,0.15,100,13,"[10, 26, 38, 47, 48, 50, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.04638775092757816,0.3182698592676714,0.2718821083400932,0.9427418591319293,0.9320541060635094,6
tau0.15_sup200,0.15,200,12,"[10, 26, 47, 48, 50, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.04200257175570143,0.28659416518159686,0.24459159342589543,0.9427418591319293,0.9320541060635094,6
tau0.15_sup50,0.15,50,13,"[10, 26, 38, 47, 48, 50, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.04638775092757816,0.3182698592676714,0.2718821083400932,0.9427418591319293,0.9320541060635094,6
tau0.1_sup100,0.1,100,12,"[10, 26, 38, 47, 48, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.03124873181304721,0.31843434615791716,0.28718561434486994,0.9427418591319293,0.9320541060635094,6
tau0.1_sup200,0.1,200,11,"[10, 26, 47, 48, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.024998616523324226,0.28273597437829395,0.2577373578549697,0.9427418591319293,0.9320541060635094,6
tau0.1_sup50,0.1,50,12,"[10, 26, 38, 47, 48, 56, 66, 69, 104, 109, 163, 174]",0.6289523806967563,0.6863136131955712,0.03124873181304721,0.31843434615791716,0.28718561434486994,0.9427418591319293,0.9320541060635094,6
