method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,head_type,hidden_dim
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
original_head,margin,1000,0.80890148378231,0.6863136131955712,0.4710301608824715,0.2608150047824326,27287,0.938713638539506,0.8923789128590333,144143,6,3,original,
prime_expanded,margin,1000,0.6774499727354338,0.5267498866175375,0.4769304064206399,0.3200475870825012,27287,0.8412964902908917,0.7226956455201552,144143,5,2,expanded,512
prime_expanded_nokd,margin,1000,0.5787499744749207,0.43932708474650384,0.5770879906182431,0.3218086022607059,27287,0.7977008942508481,0.6534732249789654,144143,4,3,expanded_nokd,512
