method,alpha,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
static,,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
prototype_only,,0.44388613006516636,0.3502808724430357,0.15589804386484885,0.11481197802165004,47236,0.8664650556279999,0.6286445343257242,144172
logit_plus_proto,0.0,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.15439573308329985,47236,0.9412229836584081,0.9027706369575663,144172
logit_plus_proto,0.05,0.7520323390735844,0.6287332022556724,0.16421796934541452,0.1545589630086929,47236,0.941264600615931,0.9027678084787519,144172
logit_plus_proto,0.1,0.7521245377784193,0.628769121064134,0.1643238208146329,0.15455664974916766,47236,0.9413200898926283,0.9029331176220078,144172
logit_plus_proto,0.3,0.7524653706954729,0.6291163646984553,0.16457786434075705,0.15475966989661785,47236,0.9415143023610687,0.9031924224877652,144172
logit_plus_proto,0.5,0.7526898216408497,0.6293831762998886,0.16476839698535015,0.15497942618718902,47236,0.9417362594678579,0.903138018502436,144172
logit_plus_proto,1.0,0.7536488393165507,0.6301114486345654,0.16533999491912948,0.15537795541715782,47236,0.9421593652026746,0.9035273730117261,144172
logit_plus_proto,2.0,0.7543282379693915,0.6303796031831443,0.16608095520365823,0.1561437625318472,47236,0.9424298754265739,0.90286898564372,144172
logit_plus_proto,5.0,0.752640699380077,0.627897540373213,0.1680921331188077,0.1556224432643404,47236,0.9417778764253808,0.8980051187373596,144172
