norm,period,class_id,groups,support,precision,recall,f1
gn,M-2022-7,0,,627,0.8763358778625954,0.9154704944178629,0.8954758190327613
gn,M-2022-7,1,,5041,0.9311765917988872,0.8964491172386432,0.9134829189407722
gn,M-2022-7,2,absorber,4913,0.6682960893854749,0.7791573376755546,0.7194812517620525
gn,M-2022-7,3,,814,0.5692857142857143,0.9791154791154791,0.7199638663053297
gn,M-2022-7,4,,1306,0.8729050279329609,0.9571209800918836,0.9130752373995618
gn,M-2022-7,5,absorber,949,0.4429637526652452,0.8756585879873551,0.5883185840707965
gn,M-2022-7,6,degraded_noncollapsed,1455,0.17620481927710843,0.3216494845360825,0.22768182923862806
gn,M-2022-7,7,,13,0.7142857142857143,0.38461538461538464,0.5
gn,M-2022-7,8,stable,1238,0.8773656320968963,0.9361873990306947,0.9058225869480265
gn,M-2022-7,9,degraded_noncollapsed,1255,0.8315363881401617,0.49163346613545816,0.6179268903355033
gn,M-2022-7,10,final_collapsed;gradual_collapsed,1346,0.8383620689655172,0.8670133729569094,0.8524470416362309
gn,M-2022-7,11,degraded_noncollapsed,1290,0.6821345707656613,0.6837209302325581,0.6829268292682927
gn,M-2022-7,12,degraded_noncollapsed,1813,0.812790097988654,0.8692774407060121,0.8400852878464818
gn,M-2022-7,13,absorber,1115,0.45198902606310015,0.5910313901345291,0.5122425184609405
gn,M-2022-7,14,absorber;degraded_noncollapsed,4897,0.39216696727647515,0.3108025321625485,0.3467760309865573
gn,M-2022-7,15,stable,538,0.8445297504798465,0.8178438661710037,0.8309726156751652
gn,M-2022-7,16,,949,0.335149863760218,0.12961011591148577,0.18693009118541035
gn,M-2022-7,17,,9274,0.9529867926814491,0.848069872762562,0.897472471044674
gn,M-2022-7,18,,12401,0.8660102115244347,0.9574227884847996,0.9094251464899851
gn,M-2022-7,19,degraded_noncollapsed,9918,0.8991884228023859,0.9272030651340997,0.9129808885579548
gn,M-2022-7,20,,1273,0.8870326173428799,0.8758837391987431,0.8814229249011858
gn,M-2022-7,21,,1255,0.9434682964094728,0.9840637450199203,0.9633385335413417
gn,M-2022-7,22,,449,0.778705636743215,0.8307349665924276,0.8038793103448276
gn,M-2022-7,23,,5629,0.9239112014912727,0.9685556937289039,0.9457068516912402
gn,M-2022-7,24,degraded_noncollapsed,4214,0.9672170375687964,0.9591836734693877,0.9631836053854402
gn,M-2022-7,25,,35008,0.9054225858161516,0.9357861060329068,0.9203539823008849
gn,M-2022-7,26,final_collapsed;abrupt_collapsed,952,0.6336448598130842,0.7121848739495799,0.6706231454005934
gn,M-2022-7,27,,15113,0.9650504741511166,0.834976510289155,0.8953137748767249
gn,M-2022-7,28,degraded_noncollapsed,10579,0.8206374932468936,0.7179317515833255,0.7658566098618533
gn,M-2022-7,29,,19817,0.8459763133920437,0.7028813644850381,0.7678187531007111
gn,M-2022-7,30,,5745,0.9968231556653724,0.9831157528285466,0.9899220050828148
gn,M-2022-7,31,,5940,0.9781988931745765,0.981986531986532,0.9800890531798706
gn,M-2022-7,32,degraded_noncollapsed,2014,0.6063685636856369,0.4443892750744787,0.5128939828080229
gn,M-2022-7,33,,273,0.6851851851851852,0.5421245421245421,0.6053169734151329
gn,M-2022-7,34,degraded_noncollapsed,802,0.9043583535108959,0.9314214463840399,0.9176904176904177
gn,M-2022-7,35,,3174,0.9850696748506967,0.9354127284183995,0.9595992243051067
