true_class,absorber_class,true_support,absorber_support,true_recall,absorber_confusion_rate,absorber_confusion_count,mean_confidence_true_samples,mean_margin_true_samples,target_centroid_cosine_distance
56,96,12137,44573,0.00041196341764851283,0.25236878965147896,3063,0.712494432926178,0.5743901133537292,0.25864148139953613
48,14,3361,5821,0.0008925914906277894,0.389764950907468,1310,0.7197796702384949,0.5675522089004517,0.28930187225341797
66,71,1955,39434,0.0010230179028132991,0.13861892583120206,271,0.6420560479164124,0.47707828879356384,0.16916704177856445
69,105,1866,3159,0.00482315112540193,0.3767416934619507,703,0.664325475692749,0.5176802277565002,0.15882760286331177
104,2,1744,3678,0.00974770642201835,0.2121559633027523,370,0.5501664876937866,0.36885690689086914,0.10030156373977661
163,46,1741,7420,0.015508328546812177,0.41815048822515793,728,0.5746378898620605,0.38595056533813477,0.07653862237930298
