method,strategy,budget,confidence_threshold,silver_samples,silver_collapse_true_count,silver_collapse_pseudo_count,silver_correct_rate,replay_samples,ft_depth,holdout_overall_accuracy,holdout_overall_macro_f1,holdout_bad_accuracy,holdout_bad_macro_f1,holdout_bad_support,holdout_stable_accuracy,holdout_stable_macro_f1,holdout_stable_support,holdout_collapsed_count,holdout_severe_collapsed_count,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,,0,0,0,,890,,0.7523248124846492,0.6335751283849442,0.009584086799276673,0.04100106114474326,5530,0.9436516520707582,0.9036473919461327,28661,11,7,0.7523248124846492,0.6335751283849442,0.009584086799276673,0.04100106114474326,5530,0.9436516520707582,0.9036473919461327,28661,11,7,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8
self_evolving+replay+kd,confidence>=0.9,0,0.9,628789,4447,154,0.9445,890,full,0.7128001662604622,0.57545206142291,0.0007233273056057866,0.0014484340927676637,5530,0.9368130909598409,0.8583262092858691,28661,12,12,0.5284704222107022,0.4418444867431673,0.00021854102014948207,0.0005578436838800407,22879,0.8201559906314665,0.7180974317833695,43977,12,12,0.7135945478824904,0.5739512873210884,0.0004757373929590866,0.002576411712133915,27326,0.9356324390311572,0.856637847467189,144172,12,11
self_evolving+replay+kd,confidence>=0.95,0,0.95,550921,2442,69,0.9664,890,full,0.7243552683783937,0.5778394137771302,0.002531645569620253,0.01866791650742222,5530,0.9318586232162172,0.8633977434787943,28661,12,10,0.5604357328941303,0.45621773472023147,0.0021700691207201415,0.013808984380605288,24884,0.8026093160737947,0.7216047142640785,49055,12,10,0.7255176541626581,0.5777400336945204,0.002305496596647881,0.015926182196376724,27326,0.9286477263268873,0.8603009624794973,144172,12,10
self_evolving+replay+kd,confidence>=0.99,0,0.99,392461,430,11,0.9901,890,full,0.6762001927109902,0.5270195418086946,0.006871609403254973,0.015927059485453404,5530,0.911203377411814,0.8150153547505941,28661,11,8,0.5477455176800233,0.4337767895711718,0.005279595478881618,0.010161974338744793,26896,0.7889863309000049,0.6899138307799981,61233,11,10,0.6759744534014899,0.5253784348626902,0.005233111322549952,0.010036830611554528,27326,0.9071664400854534,0.811551377280684,144172,11,10
self_evolving+replay+kd,confidence>=0.997,0,0.997,298714,101,1,0.9939,890,full,0.6364866141434752,0.49401864466943746,0.00488245931283906,0.01344047455266785,5530,0.9031087540560343,0.7697857278611283,28661,12,9,0.5340234159577947,0.420011537627865,0.003893480257116621,0.009775028884217213,27225,0.7951774663916352,0.635221461465624,70295,12,9,0.6359481238697157,0.4906350639366135,0.0038790895118202447,0.009739339423726021,27326,0.8994118136670088,0.7674465614226017,144172,12,9
