method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,head_type,hidden_dim
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
original_head,margin,1000,0.8080650174818431,0.6846078244275389,0.45120386997471323,0.25384171466028016,27287,0.9413707221301069,0.8885174000671938,144143,6,3,original,
prime_expanded,margin,1000,0.6748634313723266,0.5289906562019743,0.5472569355370689,0.3356606799614457,27287,0.8690328354481314,0.7408865645040179,144143,4,2,expanded,512
prime_expanded_nokd,margin,1000,0.5659254183655025,0.43370245742984664,0.559900318833144,0.2797918797884607,27287,0.8030497492073844,0.6342815947536085,144143,5,2,expanded_nokd,512
