method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,replay_type,replay_samples,gan_epochs,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,margin,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,,
iletc_gan_replay,margin,1000,0.7865226069009226,0.6459486646771229,0.4671821746619269,0.21149814770151618,27287,0.9214738141984002,0.8533773488191603,144143,5,3,gan,890,50,0.7866106320221217,0.6462154998681328,0.4677962380150772,0.2122794252978386,27326,0.9214757373137641,0.8534173287664675,144172,5,3
iletc_real_replay,margin,1000,0.786095298166959,0.6605945061013941,0.48378348664199067,0.24330162708287253,27287,0.9202666796167694,0.8569299748310147,144143,4,3,real,890,,,,,,,,,,,
