rule,periods,mean_coverage,mean_collapsed_reject_rate,mean_stable_false_reject_rate,mean_absorber_error_reduction,mean_deploy_score
absorber_distance,M-2022-10 M-2022-12 M-2022-7,0.9574023387777779,0.06465973472810324,0.002423118619732443,0.20745219694694506,0.16196978228399597
absorber_proto_disagree,M-2022-10 M-2022-12 M-2022-7,0.9646323756842105,0.057993584177779854,0.002234167349931319,0.18523939756988891,0.1503008850045313
confidence,M-2022-10 M-2022-12 M-2022-7,0.5567048802654068,0.8262941743731993,0.1725535889030229,0.9730793199975452,0.924845659482833
hybrid,M-2022-10 M-2022-12 M-2022-7,0.5236297569993732,0.8361312617848912,0.1797737166010814,0.9977211802113085,0.9319693280866055
margin,M-2022-10 M-2022-12 M-2022-7,0.5588069836701571,0.8005286935929782,0.17697649810032937,0.9717449723285422,0.894428787758292
prototype_distance,M-2022-10 M-2022-12 M-2022-7,0.6569746682173591,0.23208931012290535,0.1039071200428235,0.20745219694694506,0.2128939727276861
