method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable,25,2,500,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,random,50,stable,25,2,500,0,9,0.6370144547920277,0.5156408627410167,0.002232306228500329,0.014856563403934757,27326,0.9674971561745692,0.5695696494092302,144172,12,10,600,0.1676049679517746
active_head_ft,random,100,stable,25,2,500,1,14,0.6745657781079466,0.5242546398044275,0.009953890068067042,0.017761518635124183,27326,0.9657839247565408,0.603348215535111,144172,12,10,700,0.1666453331708908
active_head_ft,random,200,stable,25,2,500,2,21,0.7030952314376423,0.5335855471444194,0.008892629729927541,0.013378638081161512,27326,0.9629955886025026,0.6522778597369604,144172,12,10,900,0.16552788019180298
active_head_ft,random,500,stable,25,2,500,9,41,0.7495527984951962,0.5670299468278681,0.38699407158018007,0.11701089351334874,27326,0.9582928724024082,0.7256967290516327,144172,9,7,1500,0.1663004606962204
active_head_ft,random,1000,stable,25,2,500,19,87,0.7724891156406034,0.5839322017818088,0.5425601990778014,0.1933600490369548,27326,0.9530907527120384,0.7666537458944569,144172,7,5,2500,0.1635056585073471
active_head_ft,margin,50,stable,25,2,500,0,7,0.6647889367600015,0.5258028049136187,0.0024518773329429847,0.015174930514637598,27326,0.9693074938268179,0.5682193272374065,144172,12,10,600,0.1837100237607956
active_head_ft,margin,100,stable,25,2,500,3,13,0.6917714167389016,0.5345303917006516,0.16702042011271317,0.07332130240961271,27326,0.9693560469439281,0.6281829138355295,144172,10,8,700,0.1817500740289688
active_head_ft,margin,200,stable,25,2,500,10,36,0.7090397807182279,0.5396933160630225,0.3905803996194101,0.11354047993370336,27326,0.9626071636656216,0.67292525073968,144172,9,7,900,0.19158145785331726
active_head_ft,margin,500,stable,25,2,500,20,82,0.7390527263232592,0.5654006449356905,0.4295542706579814,0.17037615523798852,27326,0.9609286130455289,0.7517821622998997,144172,6,5,1500,0.18453998863697052
active_head_ft,margin,1000,stable,25,2,500,39,155,0.7648562720436145,0.6087136532557262,0.5271902217668155,0.23320033106216323,27326,0.9533196459784147,0.8056617999253163,144172,5,4,2500,0.18442761898040771
active_head_ft,absorber_random,50,stable,25,2,500,2,50,0.6253596316283878,0.523910821625144,0.07143379931201053,0.04009724347427122,27326,0.9688219626557167,0.5618039434329147,144172,11,9,600,0.17027907073497772
active_head_ft,absorber_random,100,stable,25,2,500,7,100,0.6183789805090426,0.5188771821539738,0.32141550171997363,0.08794495583983965,27326,0.9709860444469106,0.5772672301908008,144172,9,8,700,0.17558933794498444
active_head_ft,absorber_random,200,stable,25,2,500,18,200,0.6171002902747749,0.5108938811869991,0.4669545487813804,0.15924738801554308,27326,0.9691687706350748,0.604137801409345,144172,6,4,900,0.177294060587883
