epoch,train_loss,train_ce_loss,train_temporal_loss,train_irm_penalty,train_ssl_loss,train_temporal_classes,val_macro_f1_mean,val_collapse_macro_f1_mean,lr
1,3.1600570951771534,3.1600570951771534,0.0,0.0,0.0,0.0,0.23594815449941228,0.28084469528820827,0.0009972609476841367
2,2.033772235038953,2.033772235038953,0.0,0.0,0.0,0.0,0.36251938606605993,0.35368874134538125,0.0009890738003669028
3,1.673936892574669,1.673936892574669,0.0,0.0,0.0,0.0,0.4290571163703526,0.4117752781414636,0.0009755282581475768
4,1.4640038783733662,1.4640038783733662,0.0,0.0,0.0,0.0,0.4835033881364468,0.49264320779915427,0.0009567727288213003
5,1.3187764197333247,1.3187764197333247,0.0,0.0,0.0,0.0,0.519627015868241,0.550013070351217,0.0009330127018922195
6,1.2076029633864378,1.2076029633864378,0.0,0.0,0.0,0.0,0.5572497122266773,0.5873636358822715,0.0009045084971874739
7,1.1214186049934127,1.1214186049934127,0.0,0.0,0.0,0.0,0.584578643249059,0.6095068828601765,0.0008715724127386972
8,1.0518317225651863,1.0518317225651863,0.0,0.0,0.0,0.0,0.6048540506805413,0.6473551129641278,0.0008345653031794292
9,0.9928437880980663,0.9928437880980663,0.0,0.0,0.0,0.0,0.6188803627787679,0.656070916050144,0.0007938926261462366
10,0.9446288135316637,0.9446288135316637,0.0,0.0,0.0,0.0,0.6272443286883143,0.6675547605167585,0.00075
11,0.903452434295263,0.903452434295263,0.0,0.0,0.0,0.0,0.6451415750784283,0.6807079701829447,0.0007033683215379003
12,0.8660793875017737,0.8660793875017737,0.0,0.0,0.0,0.0,0.6598722877691798,0.6906597729100161,0.0006545084971874739
13,0.83447588870668,0.83447588870668,0.0,0.0,0.0,0.0,0.6684812110057535,0.6869241373460208,0.0006039558454088797
14,0.806582287285063,0.806582287285063,0.0,0.0,0.0,0.0,0.6799082404968102,0.6983417591499883,0.0005522642316338269
15,0.7826006568904615,0.7826006568904615,0.0,0.0,0.0,0.0,0.6851388981638427,0.7040307786281271,0.0005000000000000002
16,0.7605286509562761,0.7605286509562761,0.0,0.0,0.0,0.0,0.6887282839971242,0.7139555400182371,0.0004477357683661734
17,0.7391542660374927,0.7391542660374927,0.0,0.0,0.0,0.0,0.696635409216639,0.7211720528222764,0.00039604415459112036
18,0.720979308623534,0.720979308623534,0.0,0.0,0.0,0.0,0.7045183437124874,0.7257239574044402,0.0003454915028125264
19,0.7047778062331371,0.7047778062331371,0.0,0.0,0.0,0.0,0.7118586121044347,0.7280315762653675,0.00029663167846210003
20,0.6910508997929402,0.6910508997929402,0.0,0.0,0.0,0.0,0.7168966553218183,0.7342346299509731,0.00025000000000000017
21,0.6783660920766684,0.6783660920766684,0.0,0.0,0.0,0.0,0.7189450618860941,0.7375235280725506,0.00020610737385376354
22,0.6674249991901919,0.6674249991901919,0.0,0.0,0.0,0.0,0.7226347254510608,0.7368215151318854,0.00016543469682057108
23,0.6580900930950784,0.6580900930950784,0.0,0.0,0.0,0.0,0.7265731405829543,0.7368718455295583,0.00012842758726130303
24,0.6500048705145844,0.6500048705145844,0.0,0.0,0.0,0.0,0.730325033547469,0.7366501396226574,9.549150281252637e-05
25,0.6429629651399759,0.6429629651399759,0.0,0.0,0.0,0.0,0.7311418478286458,0.7323981332454546,6.698729810778068e-05
26,0.6375574001899132,0.6375574001899132,0.0,0.0,0.0,0.0,0.7343237242809273,0.7308961808999953,4.322727117869953e-05
27,0.6330197716370607,0.6330197716370607,0.0,0.0,0.0,0.0,0.7361682051213191,0.7291229040162523,2.447174185242324e-05
28,0.6298559824625651,0.6298559824625651,0.0,0.0,0.0,0.0,0.7382595828142585,0.7340310123253162,1.092619963309716e-05
29,0.6276433748057765,0.6276433748057765,0.0,0.0,0.0,0.0,0.7380270421765609,0.7382357426728771,2.7390523158633003e-06
30,0.6268150129379371,0.6268150129379371,0.0,0.0,0.0,0.0,0.7375344374098785,0.7333712873098607,0.0
