method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,absorber_margin,1000,3,0.6285,0.0013,0.2584,0.0056,0.8696,0.0048,5.0000,0.0000,0.6289,0.0013,0.2594,0.0055,0.8696,0.0048,5.0000,0.0000
active_head_ft,absorber_margin,200,3,0.6229,0.0015,0.1143,0.0032,0.8616,0.0062,10.0000,0.0000,0.6230,0.0015,0.1145,0.0032,0.8617,0.0062,10.0000,0.0000
active_head_ft,absorber_margin,500,3,0.6253,0.0014,0.1660,0.0020,0.8675,0.0032,7.6667,0.5774,0.6255,0.0014,0.1665,0.0020,0.8675,0.0032,7.6667,0.5774
active_head_ft,margin,1000,3,0.6674,0.0021,0.2746,0.0034,0.8888,0.0015,6.0000,0.0000,0.6678,0.0021,0.2756,0.0033,0.8888,0.0015,6.0000,0.0000
active_head_ft,margin,200,3,0.6352,0.0006,0.1675,0.0170,0.8688,0.0029,7.3333,0.5774,0.6353,0.0006,0.1677,0.0170,0.8688,0.0029,7.3333,0.5774
active_head_ft,margin,500,3,0.6495,0.0004,0.2173,0.0082,0.8784,0.0015,6.0000,0.0000,0.6496,0.0004,0.2180,0.0081,0.8784,0.0015,6.0000,0.0000
active_head_ft,random,1000,3,0.6512,0.0013,0.2329,0.0383,0.8811,0.0044,6.3333,0.5774,0.6514,0.0013,0.2333,0.0382,0.8812,0.0044,6.3333,0.5774
active_head_ft,random,200,3,0.6232,0.0040,0.0777,0.0196,0.8602,0.0022,9.6667,0.5774,0.6232,0.0040,0.0777,0.0196,0.8602,0.0022,9.6667,0.5774
active_head_ft,random,500,3,0.6436,0.0029,0.1771,0.0088,0.8731,0.0054,7.3333,0.5774,0.6437,0.0029,0.1773,0.0087,0.8731,0.0054,7.3333,0.5774
static,,0,3,0.6195,0.0000,0.0364,0.0000,0.8710,0.0000,11.0000,0.0000,0.6195,0.0000,0.0364,0.0000,0.8710,0.0000,11.0000,0.0000
