epoch,train_loss,train_ce_loss,train_temporal_loss,train_irm_penalty,train_ssl_loss,train_temporal_classes,val_macro_f1_mean,val_collapse_macro_f1_mean,lr
1,3.0874948220375256,3.0866389280710465,0.0,0.042794578253071654,0.0,0.0,0.2670330743979127,0.26582561859550674,0.0009972609476841367
2,2.146838851667877,2.141773579059503,0.0,0.12663180525991746,0.0,0.0,0.2685770476254508,0.2713275664848022,0.0009890738003669028
3,1.6859572498207418,1.6843485616211198,0.0,0.026811465063395025,0.0,0.0,0.4486980550364659,0.4651315790306498,0.0009755282581475768
4,1.448997209316645,1.4473845299492534,0.0,0.02015848399207601,0.0,0.0,0.49255595077150255,0.517499371434178,0.0009567727288213003
5,1.302431106261718,1.3008285768011696,0.0,0.016025289226498488,0.0,0.0,0.5315869974723596,0.5583045765513877,0.0009330127018922195
6,1.192423521147834,1.1910648398929171,0.0,0.013586809837585713,0.0,0.0,0.5607801724161315,0.5851463458611247,0.0009045084971874739
7,1.104586847521301,1.10336909793381,0.0,0.012177524769591152,0.0,0.0,0.5872232870579254,0.621206239022592,0.0008715724127386972
8,1.0352988321557004,1.0342134108910195,0.0,0.010854234511995863,0.0,0.0,0.6059112834390848,0.648680753755698,0.0008345653031794292
9,0.976034517165942,0.9750424076349308,0.0,0.009921087047212526,0.0,0.0,0.6241383018755938,0.6583752935153847,0.0007938926261462366
10,0.9262257920371162,0.9253162051877405,0.0,0.009095865180198517,0.0,0.0,0.6399686841386183,0.6600047651562443,0.00075
11,0.8834039449691773,0.8825623859707107,0.0,0.008415587996102822,0.0,0.0,0.6573720932052785,0.6788789685679028,0.0007033683215379003
12,0.8451245296714652,0.8443333257976761,0.0,0.007912057243550244,0.0,0.0,0.6671815497100051,0.6890212381320936,0.0006545084971874739
13,0.8117674154603584,0.8110241285246662,0.0,0.007432866414748212,0.0,0.0,0.674276562402613,0.6928348227084044,0.0006039558454088797
14,0.7835896238812015,0.7828851364616655,0.0,0.007044872747531209,0.0,0.0,0.684371588143099,0.7059909698535317,0.0005522642316338269
15,0.7584031112683125,0.7577342996739934,0.0,0.006688105867395544,0.0,0.0,0.6930244803018637,0.7134434076085602,0.0005000000000000002
16,0.7366507200603811,0.7360091704079229,0.0,0.006415495187298864,0.0,0.0,0.7016614038680306,0.719680055839182,0.0004477357683661734
17,0.7164959372108818,0.7158763899252965,0.0,0.006195476119163741,0.0,0.0,0.709406420290497,0.7233386138001358,0.00039604415459112036
18,0.698454886674881,0.6978496861254048,0.0,0.006052001267790985,0.0,0.0,0.7151495229397993,0.7264448228908865,0.0003454915028125264
19,0.6818999391335707,0.6813052232448872,0.0,0.00594715779969612,0.0,0.0,0.7183880125812916,0.7257978068067317,0.00029663167846210003
20,0.6677302330477625,0.6671427276908842,0.0,0.0058750526922850465,0.0,0.0,0.7224505361893189,0.7280919783974295,0.00025000000000000017
21,0.6551430488753522,0.6545639526640248,0.0,0.005790959367464878,0.0,0.0,0.7281537989817118,0.7296049335329912,0.00020610737385376354
22,0.6442434745976049,0.6436694274600755,0.0,0.005740477833956576,0.0,0.0,0.7309070382779099,0.7334883180139178,0.00016543469682057108
23,0.6348054299497197,0.6342324175386347,0.0,0.005730125479376278,0.0,0.0,0.733687570112554,0.7293602346162325,0.00012842758726130303
24,0.6269077587331462,0.6263334611542205,0.0,0.005742971201399421,0.0,0.0,0.7360346478138936,0.736987094387418,9.549150281252637e-05
25,0.6201282416143988,0.6195482448125497,0.0,0.005799967154530156,0.0,0.0,0.7405377551512843,0.7378157034940883,6.698729810778068e-05
26,0.6145506771711203,0.6139611791341733,0.0,0.005894985274137117,0.0,0.0,0.7428964067495255,0.7333555464550562,4.322727117869953e-05
27,0.6100899767162453,0.6094901026823581,0.0,0.005998740429018871,0.0,0.0,0.7447848312623968,0.736703612437331,2.447174185242324e-05
28,0.6069090800407605,0.6062978698657109,0.0,0.006112095532723918,0.0,0.0,0.7464222382757956,0.738665591620482,1.092619963309716e-05
29,0.6044561841549018,0.6038309212933238,0.0,0.006252628800849247,0.0,0.0,0.7465804390037535,0.7383538483669373,2.7390523158633003e-06
30,0.6034155206802564,0.6027759556586926,0.0,0.006395655995608968,0.0,0.0,0.7456778526144052,0.7382848203309257,0.0
