group,n_classes,support,macro_f1,macro_recall,collapsed_count,severe_count,method,period
gradual_collapsed,5,14144,0.6228614870402991,0.5907950074058844,1,0,eata,M-2022-5
absorber,10,304080,0.7975639564486394,0.8084405849232494,0,0,eata,M-2022-5
degraded_noncollapsed,39,402123,0.817517738466418,0.7988588458233955,0,0,eata,M-2022-5
stable,20,204681,0.8823493911747071,0.8911670162845526,0,0,eata,M-2022-6
final_collapsed,13,37140,0.6567228005835027,0.6155522457814655,2,1,eata,M-2022-6
abrupt_collapsed,8,26322,0.6733577665127366,0.6381455666190157,1,1,eata,M-2022-6
gradual_collapsed,5,10818,0.6301068550967289,0.5794029324413856,1,0,eata,M-2022-6
absorber,10,251157,0.7331988029078877,0.7803276890432114,0,0,eata,M-2022-6
degraded_noncollapsed,39,328956,0.714651325180273,0.7093018007297762,0,0,eata,M-2022-6
stable,20,146256,0.8320697027292226,0.8541975537982532,1,0,eata,M-2022-7
final_collapsed,13,23893,0.4646720653086263,0.44828898626501384,5,3,eata,M-2022-7
abrupt_collapsed,8,19161,0.4942894231726713,0.4781869813735789,3,2,eata,M-2022-7
gradual_collapsed,5,4732,0.4172842927261543,0.4004521940913099,2,1,eata,M-2022-7
absorber,10,154739,0.6672608549418667,0.731455204656722,0,0,eata,M-2022-7
degraded_noncollapsed,39,222215,0.6218962222987644,0.6243216711310562,1,0,eata,M-2022-7
stable,20,155230,0.883499355274268,0.8973434820829332,0,0,eata,M-2022-8
final_collapsed,13,28206,0.3330099851766399,0.3347792590300382,6,5,eata,M-2022-8
abrupt_collapsed,8,23137,0.4022123388958906,0.4100232673095353,4,3,eata,M-2022-8
gradual_collapsed,5,5069,0.22228621922583888,0.21438884578284284,2,2,eata,M-2022-8
absorber,10,162470,0.6449225073638971,0.7054103340842853,0,0,eata,M-2022-8
degraded_noncollapsed,39,247371,0.576562074260087,0.5745005763062,1,0,eata,M-2022-8
stable,20,181432,0.899219607729578,0.8974672745093795,0,0,eata,M-2022-9
final_collapsed,13,27004,0.2600682935059408,0.2541672259065986,8,4,eata,M-2022-9
abrupt_collapsed,8,21820,0.3105487967290369,0.2981161403563537,4,3,eata,M-2022-9
gradual_collapsed,5,5184,0.17929948834898712,0.18384896278699045,4,1,eata,M-2022-9
absorber,10,187689,0.6204353377536561,0.6478706855619,0,0,eata,M-2022-9
degraded_noncollapsed,39,289979,0.5439292617713084,0.5158764056385677,1,0,eata,M-2022-9
stable,20,204902,0.9089519520444567,0.9075426866700823,0,0,eata,M-2022-10
final_collapsed,13,31348,0.23907011193975158,0.22248416169667112,8,5,eata,M-2022-10
abrupt_collapsed,8,25168,0.31245759248862925,0.30348545288888196,4,3,eata,M-2022-10
gradual_collapsed,5,6180,0.12165014306154731,0.09288209578913381,4,2,eata,M-2022-10
absorber,10,187479,0.5993852358105202,0.6437915319920628,0,0,eata,M-2022-10
degraded_noncollapsed,39,316730,0.539361383584121,0.4858479983379407,0,0,eata,M-2022-10
stable,20,217551,0.8876808247698682,0.8945256309493967,0,0,eata,M-2022-11
final_collapsed,13,37343,0.1347807147806573,0.12803325570222096,10,6,eata,M-2022-11
abrupt_collapsed,8,30158,0.19150845218346613,0.18935250445353705,5,5,eata,M-2022-11
gradual_collapsed,5,7185,0.04401633493616318,0.02992245770011522,5,1,eata,M-2022-11
absorber,10,195984,0.573270150897577,0.6146744830020368,0,0,eata,M-2022-11
degraded_noncollapsed,39,336377,0.49759044354215465,0.4293313030153419,0,0,eata,M-2022-11
stable,20,144172,0.9028913265716841,0.900828979872397,0,0,eata,M-2022-12
final_collapsed,13,27342,0.025499550792864964,0.0157380565484854,13,9,eata,M-2022-12
abrupt_collapsed,8,22219,0.015744945118601052,0.010091640309029579,8,6,eata,M-2022-12
gradual_collapsed,5,5123,0.04110691987168722,0.02477232253161471,5,3,eata,M-2022-12
absorber,10,119068,0.5476787385380403,0.6248324272880118,0,0,eata,M-2022-12
degraded_noncollapsed,39,211647,0.45817959652723633,0.3970829152234144,0,0,eata,M-2022-12
stable,20,219170,0.9096646162634341,0.8948417179594139,0,0,cotta,M-2022-4
final_collapsed,13,44527,0.8576486253070414,0.8341659262784897,0,0,cotta,M-2022-4
abrupt_collapsed,8,29606,0.9023424633036967,0.8904432311196288,0,0,cotta,M-2022-4
gradual_collapsed,5,14921,0.7861384845123925,0.7441222385326673,0,0,cotta,M-2022-4
absorber,10,276479,0.8117159109405445,0.8137373692441955,0,0,cotta,M-2022-4
degraded_noncollapsed,39,376856,0.8516730216269562,0.8422092096285755,0,0,cotta,M-2022-4
stable,20,227387,0.8844863822536162,0.8847835395099859,0,0,cotta,M-2022-5
final_collapsed,13,45503,0.7113550111667137,0.6907350200413239,2,0,cotta,M-2022-5
abrupt_collapsed,8,31359,0.7667592371503624,0.7534170230357703,1,0,cotta,M-2022-5
gradual_collapsed,5,14144,0.6227082495928757,0.5904438152502102,1,0,cotta,M-2022-5
absorber,10,304080,0.79705367552583,0.8088919485979682,0,0,cotta,M-2022-5
degraded_noncollapsed,39,402123,0.8174514214031924,0.7980612238263675,0,0,cotta,M-2022-5
stable,20,204681,0.8822825792600157,0.8918042199134651,0,0,cotta,M-2022-6
final_collapsed,13,37140,0.6563932255096614,0.614930518535085,2,1,cotta,M-2022-6
abrupt_collapsed,8,26322,0.6728587381601536,0.637261663373295,1,1,cotta,M-2022-6
gradual_collapsed,5,10818,0.630048405268874,0.5792006867939486,1,0,cotta,M-2022-6
absorber,10,251157,0.7324256601199524,0.7795256571219653,0,0,cotta,M-2022-6
degraded_noncollapsed,39,328956,0.715188968753103,0.708227626710783,0,0,cotta,M-2022-6
stable,20,146256,0.832117264902035,0.8572252794803001,0,0,cotta,M-2022-7
