accuracy,macro_f1,weighted_f1,final_collapsed_macro_f1,final_collapsed_macro_recall,final_collapsed_count,final_severe_count,stable_macro_f1,stable_macro_recall,abrupt_collapsed_macro_f1,abrupt_collapsed_macro_recall,gradual_collapsed_macro_f1,gradual_collapsed_macro_recall,absorber_macro_f1,absorber_macro_recall,degraded_noncollapsed_macro_f1,degraded_noncollapsed_macro_recall,arr,method,period,time_s
0.9038201351735387,0.8664537944419266,0.9033250494662054,0.8575139737632654,0.834746138019759,0,0,0.9095194190839162,0.8946678143243354,0.9027585830865796,0.8908137079674006,0.7851225988459629,0.7450380261035329,0.8116308618103965,0.8131239576586016,0.8516156244412729,0.8424566457952617,1.0255650263497655,static,M-2022-4,11.433849811553955
0.8813123049151901,0.8391015819815609,0.8787570929256783,0.7117187705859104,0.6919672825086837,2,0,0.8842867553723245,0.8847016752413388,0.7672839833023013,0.7551999544479332,0.6228144302396849,0.5907950074058844,0.7974958769837099,0.8083828621559471,0.8174534217660011,0.7988186298814249,1.0000253834123494,static,M-2022-5,12.11557912826538
0.8621515242679503,0.7973697854118346,0.85507902637468,0.6567751127178189,0.6155875450762497,2,1,0.8823442350654348,0.891181365810637,0.6734398159118333,0.6382029279730397,0.630111587607396,0.5794029324413856,0.7331635671313137,0.7802679747036888,0.7146177316720779,0.7093429267077732,0.9782836388498701,static,M-2022-6,10.17137360572815
0.831152399116993,0.7401953796542524,0.8217379332951572,0.4647032068721109,0.44828898626501384,5,3,0.8321626795809953,0.8542687126724958,0.49435223108225457,0.4781869813735789,0.417264768135881,0.4004521940913099,0.6673034281735701,0.7314726855936468,0.621791470449608,0.6242982390763937,0.9431089206011369,static,M-2022-7,6.403016805648804
0.8116497874145262,0.7149761764267264,0.8044460961415892,0.33297577582775556,0.33467679921962346,6,5,0.8835662333421125,0.8973097611891789,0.40208576367368914,0.4098617164961938,0.22239979527426187,0.21438093157711097,0.6447743212247703,0.7051936739667324,0.5764209508370639,0.5744514962552569,0.9209793002196556,static,M-2022-8,6.61027717590332
0.7926988794861515,0.6907443167790451,0.7869537277260771,0.26002898523939943,0.2540870854608007,8,4,0.8992999500092036,0.8975580008042188,0.31042847784151606,0.29798591213193204,0.17938979707601277,0.18384896278699045,0.6204718659912545,0.647895346955112,0.5439268835768425,0.5159571839959503,0.8994756983053389,static,M-2022-9,7.8982789516448975
0.787239767457279,0.6836051344755893,0.7819478516474094,0.23925027618338698,0.22255730908879628,8,5,0.9089863032292651,0.907498637792221,0.3125594482932385,0.3036043174010853,0.1219556008076246,0.09288209578913381,0.5992688799050511,0.6437226250511057,0.5391570837447538,0.4857153926945837,0.8932812419595949,static,M-2022-10,9.151459217071533
0.7561906263077652,0.6485842741748165,0.7506109434299084,0.13467500250747166,0.12795287163200025,10,6,0.8876253459469835,0.8943973788904886,0.1913310527732156,0.18922188033942844,0.04402532208228136,0.02992245770011522,0.5732688275727378,0.6147087439652634,0.4975338615638164,0.4292509550448301,0.8580497705396485,static,M-2022-11,9.170260906219482
0.7519431632771048,0.6286470835004149,0.7457866861078043,0.02545529273016126,0.01570266345189657,13,9,0.9027706369575663,0.9006693107357598,0.015859171758221886,0.010158628519104606,0.04080908628526425,0.024573119344363716,0.5476293403449638,0.6246972639373156,0.4579563008236093,0.396883267827643,0.8532301727397803,static,M-2022-12,5.611718654632568
0.9038143433457304,0.8664638757463063,0.9033202810042066,0.8575717505808078,0.8347892434629824,0,0,0.9095421615421374,0.8947071483547623,0.9027528191221031,0.8907599919364009,0.7852820409147351,0.7452360459055131,0.811634264687477,0.8131401835254582,0.8516013618869734,0.8424284065895086,1.0255584543607075,eata,M-2022-4,11.189320087432861
0.8813296237377555,0.8391075259588887,0.8787739214542946,0.7117750005760022,0.6919196815094354,2,0,0.8842878123471307,0.8847301918720747,0.7673459465358169,0.7551226028241549,0.6228614870402991,0.5907950074058844,0.7975639564486394,0.8084405849232494,0.817517738466418,0.7988588458233955,1.0000450350864263,eata,M-2022-5,11.538939714431763
0.8621636271214573,0.7973962714226662,0.8550959448096157,0.6567228005835027,0.6155522457814655,2,1,0.8823493911747071,0.8911670162845526,0.6733577665127366,0.6381455666190157,0.6301068550967289,0.5794029324413856,0.7331988029078877,0.7803276890432114,0.714651325180273,0.7093018007297762,0.9782973719620158,eata,M-2022-6,9.770670175552368
0.831201321025564,0.7402401775128068,0.8217919982867548,0.4646720653086263,0.44828898626501384,5,3,0.8320697027292226,0.8541975537982532,0.4942894231726713,0.4781869813735789,0.4172842927261543,0.4004521940913099,0.6672608549418667,0.731455204656722,0.6218962222987644,0.6243216711310562,0.9431644323080576,eata,M-2022-7,6.411931991577148
0.811814010986169,0.7150704488111158,0.8046367204194896,0.3330099851766399,0.3347792590300382,6,5,0.883499355274268,0.8973434820829332,0.4022123388958906,0.4100232673095353,0.22228621922583888,0.21438884578284284,0.6449225073638971,0.7054103340842853,0.576562074260087,0.5745005763062,0.921165644764355,eata,M-2022-8,7.024420738220215
0.7928279527349568,0.6907868181934521,0.7870856368996458,0.2600682935059408,0.2541672259065986,8,4,0.899219607729578,0.8974672745093795,0.3105487967290369,0.2981161403563537,0.17929948834898712,0.18384896278699045,0.6204353377536561,0.6478706855619,0.5439292617713084,0.5158764056385677,0.8996221577663097,eata,M-2022-9,8.215801239013672
0.787410114243653,0.6836425745648969,0.7821172107458099,0.23907011193975158,0.22248416169667112,8,5,0.9089519520444567,0.9075426866700823,0.31245759248862925,0.30348545288888196,0.12165014306154731,0.09288209578913381,0.5993852358105202,0.6437915319920628,0.539361383584121,0.4858479983379407,0.8934745345182109,eata,M-2022-10,8.69149112701416
0.7562864906817985,0.6486531555914576,0.7507103231619849,0.1347807147806573,0.12803325570222096,10,6,0.8876808247698682,0.8945256309493967,0.19150845218346613,0.18935250445353705,0.04401633493616318,0.02992245770011522,0.573270150897577,0.6146744830020368,0.49759044354215465,0.4293313030153419,0.8581585478786957,eata,M-2022-11,9.212047100067139
0.7521147133262648,0.6288188003009064,0.7459516273923752,0.025499550792864964,0.0157380565484854,13,9,0.9028913265716841,0.900828979872397,0.015744945118601052,0.010091640309029579,0.04110691987168722,0.02477232253161471,0.5476787385380403,0.6248324272880118,0.45817959652723633,0.3970829152234144,0.8534248306411041,eata,M-2022-12,5.738356590270996
0.9038819146701592,0.8666896221716458,0.9033844088945274,0.8576486253070414,0.8341659262784897,0,0,0.9096646162634341,0.8948417179594139,0.9023424633036967,0.8904432311196288,0.7861384845123925,0.7441222385326673,0.8117159109405445,0.8137373692441955,0.8516730216269562,0.8422092096285755,1.0256351275663835,cotta,M-2022-4,15.44896674156189
0.8814710607887064,0.839178438194899,0.8788814229439574,0.7113550111667137,0.6907350200413239,2,0,0.8844863822536162,0.8847835395099859,0.7667592371503624,0.7534170230357703,0.6227082495928757,0.5904438152502102,0.79705367552583,0.8088919485979682,0.8174514214031924,0.7980612238263675,1.0002055237580552,cotta,M-2022-5,15.781506538391113
0.8621376924353708,0.7974965013895893,0.8551659544262353,0.6563932255096614,0.614930518535085,2,1,0.8822825792600157,0.8918042199134651,0.6728587381601536,0.637261663373295,0.630048405268874,0.5792006867939486,0.7324256601199524,0.7795256571219653,0.715188968753103,0.708227626710783,0.9782679438645607,cotta,M-2022-6,13.207513332366943
0.8320973291318573,0.7407507833962859,0.8228295749287187,0.46510937602942437,0.4478499314355548,5,3,0.832117264902035,0.8572252794803001,0.4955854189072163,0.47813098790181,0.4163477074249574,0.3994002410895464,0.6670600981017017,0.730057499148854,0.6224074435374723,0.6228136866772823,0.94418113302248,cotta,M-2022-7,8.603447198867798
0.8148353367747008,0.7164454063773809,0.8078929590410827,0.3346137647634973,0.3353564149109127,6,5,0.8837747048577324,0.8977885639883485,0.4044788148160993,0.41054110394270954,0.22282968467933406,0.21506091246003772,0.6458012873370447,0.7064404200068444,0.5776896211027875,0.5746491600455764,0.924593944202862,cotta,M-2022-8,8.945370197296143
0.7962702572561556,0.6918820147963429,0.790314582522811,0.26017360811087653,0.2533978674831761,8,4,0.8989321395819424,0.8991505263939095,0.3115709342326967,0.2972074912358439,0.17793788631596413,0.18330246947890766,0.6188908574899725,0.6463222767222856,0.5451474204055059,0.5159880561844487,0.9035281419213422,cotta,M-2022-9,10.82778787612915
0.7907720435758694,0.6842637560072958,0.7852146717950624,0.23808338417453329,0.22061588111986621,8,6,0.9089704888295046,0.9088064921628783,0.31122520458202974,0.30034102750114317,0.1210564715225391,0.09305564690982303,0.5996568861880316,0.6433188970913005,0.5397836420640824,0.48594149868689046,0.8972893169179397,cotta,M-2022-10,11.730533599853516
0.7588748287806973,0.6490775179635121,0.7531345653440842,0.13604902693543489,0.12903444848144358,10,6,0.888052909386513,0.8958199716874213,0.19250457771921486,0.1882775720019215,0.04572014568138691,0.03424545084867895,0.574323860800986,0.6148586648704849,0.4968868234270001,0.4278610394253927,0.86109553603297,cotta,M-2022-11,12.423376560211182
0.7557890584320628,0.6300396390783319,0.7494104227878291,0.025075694594658034,0.015466092761048945,13,9,0.9033234727746073,0.9018717110160391,0.015112658720302475,0.009668792797106175,0.04101655199362694,0.024741772703357378,0.5482816087791619,0.6258594445560376,0.4605257243807196,0.399010258913707,0.857594111329371,cotta,M-2022-12,7.689576864242554
0.9037784340133197,0.8665153956522693,0.9032777232689455,0.8582904890069195,0.8338514777654028,0,0,0.9091845596484152,0.8952433373717013,0.9024663562004567,0.8902095019690058,0.7876091014972604,0.7436786390396382,0.8109217409582034,0.8134815561033857,0.8514410630794862,0.8419336040433941,1.0255177080285482,sar,M-2022-4,13.657632827758789
0.881031595666109,0.8385125994240598,0.8784692999333231,0.7107832252439361,0.6890192103350976,2,0,0.8831465568252848,0.8845464597759569,0.7675123939523381,0.7523473250816012,0.6200165553104932,0.5876942267406915,0.7949908887907462,0.8083606611232721,0.8179978894732545,0.7969181927619616,0.9997068625283516,sar,M-2022-5,14.383033037185669
0.8614296755052077,0.7968456932855548,0.8545909347032489,0.6558612097911038,0.6142569374653208,2,1,0.8817808160609649,0.8916764746482404,0.673177923524396,0.6378898053963504,0.6281544678178362,0.5764443487756737,0.729972779127062,0.7793589818572187,0.7166232190772122,0.7058603260391683,0.9774645568040375,sar,M-2022-6,12.088819980621338
0.8322561577939303,0.739701297697974,0.8233624780389855,0.4654242830363201,0.4475674233724135,5,3,0.8343428482934524,0.857956404052322,0.49620413933467644,0.47834579496299207,0.4161765129589498,0.3983220288274877,0.6633194446017233,0.7320230640187934,0.6220666671542526,0.6210621723003131,0.9443613559613866,sar,M-2022-7,7.901104688644409
0.8151366288392109,0.7159325505432372,0.8084444510380868,0.33237935604843677,0.3321558897860174,6,5,0.8846939392191665,0.8967556454350868,0.40228771737720087,0.4067144075078601,0.22052597792241418,0.21286226143106896,0.6433171712303507,0.70652084370908,0.5770442065908534,0.5711654386708788,0.924935820414791,sar,M-2022-8,8.145709753036499
0.79675652096492,0.690874051753063,0.7908775374637886,0.25331842042803765,0.24641733063330135,8,4,0.9005023969079348,0.8989265178200654,0.2987651469977255,0.2864428354662977,0.1806036579165371,0.18237652290050735,0.6173461215115287,0.6470883902604009,0.5450357120699163,0.5147921195074139,0.9040799055232852,sar,M-2022-9,10.001157283782959
0.791186295988188,0.6815101197054848,0.7854329348661307,0.2337441784619987,0.21417569293286662,8,7,0.9094981250110379,0.9108880782702056,0.3033413342532704,0.29100869681840824,0.12238872919596391,0.09124288671599996,0.5987288123551674,0.6444732641221643,0.5347239138199106,0.48118079243362244,0.897759369276392,sar,M-2022-10,10.81883978843689
0.7600099920174473,0.6472010102800216,0.7538541169517616,0.13202572062913195,0.12410970698985292,10,7,0.8875670449445335,0.8962119047061528,0.1871935901786432,0.1813552009488402,0.04375712934991396,0.03251691665547325,0.5726491243685791,0.6140066160675226,0.4921965955342372,0.4225078640924545,0.8623836061583221,sar,M-2022-11,11.33927845954895
0.7561540746159584,0.6288240551765101,0.7496048520284421,0.022786915062267356,0.013784832271322255,13,9,0.9013109325983875,0.9008337794527781,0.013956087617684812,0.008645544330623093,0.03691623897359942,0.022007692976440913,0.5468295783136703,0.6249617915458889,0.46034915038704,0.39475592592507275,0.8580082953220558,sar,M-2022-12,7.058198690414429
0.9006666779929077,0.8596488365055173,0.901086626961509,0.8539577617897074,0.8379103725739561,0,0,0.9044780533950189,0.8954559727436558,0.9013049835504012,0.8934192558169629,0.778202206972597,0.7490961593851457,0.8024221355268149,0.7976127603218455,0.8461063711068851,0.8442630568381768,1.0219867973740129,tta_tc,M-2022-4,12.235509634017944
0.8810243794900401,0.8364170668076081,0.8794674271634468,0.7273125013919896,0.7058363003130693,1,0,0.8782861032929186,0.8843500654630521,0.792947658417019,0.7761704336503319,0.6222962501519428,0.5933016869734493,0.7989239262332604,0.8023036752380218,0.8124784036269499,0.8044872685128492,0.9996986743308196,tta_tc,M-2022-5,15.53840684890747
0.8623309058467157,0.7980885659616451,0.8573960947782275,0.6827272546089169,0.6548782254940846,2,0,0.8789218097773785,0.888758650955913,0.7218185873950317,0.6992113871711502,0.6201811221511332,0.5839451668107799,0.7384607445649716,0.7802003426542438,0.7132363135696606,0.7128066398044154,0.978487183190601,tta_tc,M-2022-6,13.270879030227661
0.8409729696402698,0.7525000034363494,0.8365709709043864,0.5129950817846424,0.4857240460949746,4,2,0.8345248143579852,0.8623133499166027,0.5745426919368652,0.5396896338399495,0.41451890554108584,0.3993791057030147,0.6700432349246753,0.7265075017989832,0.6536936080048062,0.6547876322824446,0.9542523254396895,tta_tc,M-2022-7,8.34249234199524
0.8267040458481177,0.7327520450763212,0.8242101665726981,0.3761652124438358,0.36760063594922965,5,3,0.8805514622713018,0.8986032898352526,0.4733032078480541,0.46206345455934206,0.22074441979708642,0.21646012617304988,0.6586470438608438,0.70765710566422,0.6263952755556078,0.6232692538580612,0.93806137257707,tta_tc,M-2022-8,8.655043840408325
0.8068732295233193,0.7062221209216007,0.8048150330043755,0.2935600270828908,0.28394949387873275,7,3,0.8921333715179236,0.8937813325731042,0.36808236474206507,0.34543783797521727,0.17432428682821202,0.18556814332435748,0.6336208530292304,0.661549896227015,0.598232189325761,0.5655596157398607,0.9155593382948017,tta_tc,M-2022-9,10.807804107666016
0.7942041441695182,0.6887756442903576,0.7895186110899477,0.24268616030472617,0.22729158425890633,8,4,0.9034711793389558,0.9080308747387933,0.31849359186803705,0.3087415255150155,0.12139426980342889,0.09697167824913175,0.593874977043905,0.629569904600113,0.5594619431543284,0.5133948405691452,0.9011837226727801,tta_tc,M-2022-10,11.724940299987793
0.7674187411164144,0.6603108174792872,0.7636580356725305,0.16826083029198113,0.1473532963404476,9,4,0.8813277754024249,0.898129376174119,0.2353467204045491,0.21165660410548623,0.06092340611187229,0.04446800391638588,0.5842827290903367,0.6266770847147456,0.5242309369976864,0.46494858738612366,0.8707903163755514,tta_tc,M-2022-11,12.5637366771698
0.7608781246481146,0.6328353188144082,0.7561685078333242,0.05649897969172191,0.03427265809745009,11,6,0.8983624703524559,0.9039901011567121,0.055885091211475016,0.03330572434720121,0.05748120126011693,0.0358197520978483,0.5502746063023698,0.624713022001244,0.47517771960245797,0.4313768671889659,0.863368676560714,tta_tc,M-2022-12,7.55713677406311
