class_id,groups,support,precision,recall,f1,method,period
0,,1414,0.9046951646811493,0.9130127298444131,0.908834917282647,static,M-2022-4
1,,10792,0.961175136973361,0.9428280207561156,0.9519131817756572,static,M-2022-4
2,absorber,7583,0.7204069934078533,0.6629302386918107,0.6904745553190028,static,M-2022-4
3,,1593,0.9379267535692116,0.9485247959824231,0.9431960049937578,static,M-2022-4
4,,3737,0.9523684899241036,0.9737757559539738,0.9629531622122255,static,M-2022-4
5,absorber,2093,0.9365671641791045,0.9593884376493073,0.9478404531508142,static,M-2022-4
6,degraded_noncollapsed,2729,0.9723736822973464,0.9802125320630267,0.9762773722627737,static,M-2022-4
7,,36,0.6857142857142857,0.6666666666666666,0.676056338028169,static,M-2022-4
8,stable,1574,0.9174122505161735,0.8468869123252859,0.8807400066072019,static,M-2022-4
9,degraded_noncollapsed,1547,0.7186311787072244,0.6108597285067874,0.660377358490566,static,M-2022-4
10,final_collapsed;gradual_collapsed,2020,0.836901121304791,0.8128712871287128,0.8247112004018081,static,M-2022-4
11,degraded_noncollapsed,1685,0.7974530018192845,0.7804154302670623,0.7888422315536893,static,M-2022-4
12,degraded_noncollapsed,2788,0.8371592539454806,0.8371592539454806,0.8371592539454806,static,M-2022-4
13,absorber,2093,0.48784911135291986,0.6426182513139035,0.554639175257732,static,M-2022-4
14,absorber;degraded_noncollapsed,10401,0.8183999165536664,0.7543505432169983,0.7850710426255754,static,M-2022-4
15,stable,751,0.8964968152866242,0.7496671105193076,0.8165337200870196,static,M-2022-4
16,,2008,0.7660818713450293,0.39143426294820716,0.5181278839815425,static,M-2022-4
17,,10007,0.941901776384535,0.9007694613770361,0.9208765387955253,static,M-2022-4
18,,21926,0.9364035087719298,0.9153060293715224,0.9257345818534065,static,M-2022-4
19,degraded_noncollapsed,13185,0.9039080459770115,0.8946530147895335,0.8992567181246427,static,M-2022-4
20,,1281,0.8068763716166789,0.8610460577673692,0.8330815709969789,static,M-2022-4
21,,2620,0.8953571428571429,0.9568702290076336,0.9250922509225092,static,M-2022-4
22,,4636,0.9413495900777801,0.9659188955996548,0.9534759927605664,static,M-2022-4
23,,12840,0.9380874698982367,0.9404984423676013,0.9392914090148952,static,M-2022-4
24,degraded_noncollapsed,10253,0.9463597842835131,0.9584511850190188,0.9523671076222319,static,M-2022-4
25,,54557,0.9076298158926656,0.9460930769653757,0.926462405542692,static,M-2022-4
26,final_collapsed;abrupt_collapsed,2293,0.8358762886597938,0.8839947666812037,0.8592623993217465,static,M-2022-4
27,,19386,0.9931397328106463,0.993190962550294,0.9931653470198334,static,M-2022-4
28,degraded_noncollapsed,16366,0.8664544034602908,0.8812782598069168,0.8738034654065189,static,M-2022-4
29,,29653,0.8945477529024317,0.9068559673557481,0.9006598117694343,static,M-2022-4
30,,8131,0.9870546171865368,0.9846267371786988,0.9858391823667036,static,M-2022-4
31,,7973,0.9801248566696394,0.9648814749780509,0.9724434331942864,static,M-2022-4
32,degraded_noncollapsed,2331,0.7264243614931237,0.6344916344916345,0.6773528738264255,static,M-2022-4
33,,204,0.6695652173913044,0.37745098039215685,0.4827586206896552,static,M-2022-4
34,degraded_noncollapsed,588,0.9286926994906621,0.9302721088435374,0.929481733220051,static,M-2022-4
35,,875,0.9256505576208178,0.8537142857142858,0.8882282996432818,static,M-2022-4
36,degraded_noncollapsed,826,0.6140939597315436,0.8861985472154964,0.7254707631318137,static,M-2022-4
37,,1989,0.9842342342342343,0.6591251885369532,0.7895212285456188,static,M-2022-4
38,final_collapsed;abrupt_collapsed,77,0.896551724137931,0.6753246753246753,0.7703703703703704,static,M-2022-4
39,,4388,0.9324294287619471,0.9560164083865087,0.9440756160684145,static,M-2022-4
40,degraded_noncollapsed,2334,0.9781520254893036,0.9207369323050557,0.9485764731847275,static,M-2022-4
41,,2121,0.882439744220364,0.8458274398868458,0.8637457871930669,static,M-2022-4
42,degraded_noncollapsed,1839,0.8788235294117647,0.8123980424143556,0.8443063012150325,static,M-2022-4
43,,2042,0.9056271981242673,0.7566111655239961,0.8244397011739595,static,M-2022-4
44,stable,2910,0.9837685250529288,0.9580756013745705,0.9707520891364902,static,M-2022-4
45,absorber,2192,0.9301895515487748,0.9178832116788321,0.9239954075774971,static,M-2022-4
46,absorber,9798,0.7530023640661938,0.8127168809961216,0.781720905119521,static,M-2022-4
47,final_collapsed;gradual_collapsed,3839,0.9935965848452508,0.9700442823651992,0.9816791880848821,static,M-2022-4
48,final_collapsed;abrupt_collapsed,5001,0.984362628661916,0.9944011197760448,0.9893564110215856,static,M-2022-4
49,,40220,0.9390109338950747,0.9309796121332671,0.9349780263683579,static,M-2022-4
50,degraded_noncollapsed,4546,0.8361119849009122,0.5846898372195336,0.6881553398058252,static,M-2022-4
51,,21842,0.9240107913669064,0.94084790770076,0.932353341499932,static,M-2022-4
52,,2301,0.9203581526861452,0.848761408083442,0.8831110106262717,static,M-2022-4
53,,9775,0.9409687184661958,0.9539641943734015,0.9474218948437897,static,M-2022-4
54,degraded_noncollapsed,6663,0.8391951837769328,0.794987242983641,0.8164932562620424,static,M-2022-4
55,degraded_noncollapsed,8193,0.9863245794505627,0.9947516172342243,0.9905201750121536,static,M-2022-4
56,final_collapsed;abrupt_collapsed,10094,0.9687625957275292,0.9524469982167625,0.9605355180337696,static,M-2022-4
57,stable,3065,0.9896204995134609,0.9954323001631321,0.9925178919973975,static,M-2022-4
58,,2286,0.9921156373193167,0.9908136482939632,0.9914642153644123,static,M-2022-4
59,stable,13724,0.9954979430256927,0.9344943165257942,0.9640320216484384,static,M-2022-4
60,,49622,0.9132309186957314,0.9092741122889041,0.9112482202183199,static,M-2022-4
61,,19676,0.7113746958637469,0.8321305143321813,0.7670289515600113,static,M-2022-4
62,stable,15549,0.9463302752293578,0.9287413981606534,0.9374533415560388,static,M-2022-4
63,,11152,0.8243564784771793,0.6834648493543759,0.7473281694283753,static,M-2022-4
64,stable,2437,0.8236046016190882,0.7931883463274518,0.8081103678929766,static,M-2022-4
65,,3145,0.9563454942313688,0.9751987281399046,0.9656801007556675,static,M-2022-4
66,final_collapsed;abrupt_collapsed,5149,0.8769202295021284,0.9201786754709652,0.8980288097043214,static,M-2022-4
67,,854,0.5711743772241993,0.3758782201405152,0.4533898305084746,static,M-2022-4
68,,7271,0.7754048017867113,0.7639939485627837,0.7696570834776585,static,M-2022-4
69,final_collapsed;abrupt_collapsed,879,0.8545454545454545,0.8020477815699659,0.8274647887323944,static,M-2022-4
70,degraded_noncollapsed,2642,0.845489443378119,0.6669190007570023,0.7456622936944562,static,M-2022-4
71,absorber,149408,0.898879971897968,0.8906015742128935,0.8947216245293168,static,M-2022-4
72,,17880,0.8352322017234399,0.8077181208053691,0.8212447755252907,static,M-2022-4
73,,29211,0.9772696384887197,0.9846633117661155,0.9809525433555583,static,M-2022-4
74,,9210,0.8396893634724726,0.6574375678610206,0.7374703124048475,static,M-2022-4
75,degraded_noncollapsed,28060,0.7365331195051404,0.9165716322166786,0.8167484399561759,static,M-2022-4
76,stable,10523,0.9372085794218216,0.8595457569134277,0.8966987211262021,static,M-2022-4
77,,81932,0.8928487107797453,0.8769711468046673,0.8848387076911709,static,M-2022-4
78,,48009,0.9615252342876794,0.9317836239038514,0.9464208265896565,static,M-2022-4
79,,25102,0.8361911245372932,0.7829256632937615,0.8086822343380311,static,M-2022-4
80,degraded_noncollapsed,6096,0.8715596330275229,0.7791994750656168,0.822795773428027,static,M-2022-4
81,,7217,0.9657291097760786,0.9800471109879452,0.972835430850698,static,M-2022-4
82,,79609,0.8904576313804375,0.8896858395407554,0.8900715681531144,static,M-2022-4
83,,24502,0.9595668748479196,0.9656762713247898,0.9626118795768918,static,M-2022-4
84,,2397,0.9054531188701451,0.9628702544847726,0.9332794177112819,static,M-2022-4
85,,2080,0.9117108874656907,0.958173076923077,0.9343647444913268,static,M-2022-4
86,,27759,0.8664357490864799,0.8200223350985266,0.8425903647905831,static,M-2022-4
87,,11231,0.950342911711086,0.9747128483661295,0.9623736263736263,static,M-2022-4
88,,204,0.4025974025974026,0.45588235294117646,0.42758620689655175,static,M-2022-4
89,,486,0.7659137577002053,0.7674897119341564,0.7667009249743063,static,M-2022-4
90,,7635,0.9458365961889846,0.9491814014407335,0.947506046937308,static,M-2022-4
91,,4262,0.9294947121034077,0.9279680900985453,0.9287307737466244,static,M-2022-4
92,,2288,0.9792043399638336,0.9466783216783217,0.9626666666666667,static,M-2022-4
93,,34812,0.8987074401008828,0.8188842927726071,0.8569410208621415,static,M-2022-4
94,stable,633,0.8186666666666667,0.4849921011058452,0.6091269841269841,static,M-2022-4
95,,50223,0.9930725183197854,0.9875953248511639,0.9903263484710839,static,M-2022-4
96,absorber;degraded_noncollapsed,55119,0.9298070584881795,0.9468785718173407,0.9382651685393258,static,M-2022-4
97,,41580,0.9674022547373471,0.9699615199615199,0.9686801969496818,static,M-2022-4
98,stable,63298,0.9895741740987313,0.995671269234415,0.9926133589529554,static,M-2022-4
99,stable,23955,0.9258153626804492,0.8674180755583385,0.8956658548675618,static,M-2022-4
100,,30504,0.9788746105919003,0.9888867033831629,0.9838551859099804,static,M-2022-4
101,degraded_noncollapsed,60629,0.987726647902075,0.9955301918223952,0.9916130675143958,static,M-2022-4
102,,79891,0.990990765534673,0.9913256812406904,0.9911581950953952,static,M-2022-4
103,degraded_noncollapsed,1787,0.8891280947255114,0.9244543928371572,0.9064471879286694,static,M-2022-4
104,final_collapsed;gradual_collapsed,3363,0.8248146703082325,0.6286054118346714,0.7134660816739791,static,M-2022-4
105,absorber;degraded_noncollapsed,4895,0.8343868520859671,0.6741573033707865,0.7457627118644068,static,M-2022-4
106,,3993,0.9784892446223111,0.9797145003756574,0.9791014891753222,static,M-2022-4
