method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.6202822074367178,0.03153852496503578,0.8896248031831657,12,
BN-Adapt,0.6202822074367178,0.03153852496503578,0.8896248031831657,12,10.7
Tent,0.6205544035517393,0.02925094639581809,0.8913106853053442,12,11.3
EATA,0.6202883912195495,0.03150560625270495,0.8895388534462928,12,12.4
CoTTA,0.6205531955638752,0.03070567951468395,0.8901357204167686,12,14.5
SAR,0.6206931906835272,0.0316799823930351,0.8899830658478791,12,10.4
NOTE,0.6210046974223367,0.03136659491367825,0.8904337265469566,12,48.3
