class_id,reference_support,reference_recall,reference_f1,final_support,final_recall,final_f1,delta_final_recall_from_ref,delta_final_f1_from_ref,min_recall,first_collapse_period,first_collapse_recall,collapse_pattern,num_supported_periods,num_collapsed_periods,recall_slope_per_period,final_top_confusion_target,final_top_confusion_rate,first_collapse_top_confusion_target,first_collapse_top_confusion_rate
71,341,0.1495601173020528,0.21294363256784968,1435,0.06689895470383275,0.11815384615384615,-0.08266116259822004,-0.09478978641400353,0.06689895470383275,W-2022-47,0.06689895470383275,gradual,3,1,-0.04133058129910975,98,0.3205574912891986,98,0.3205574912891986
9,2227,0.2784014369106421,0.3686087990487515,2401,0.17367763431903374,0.23283082077051925,-0.10472380259160838,-0.13577797827823224,0.15379901960784315,,,not_collapsed,3,0,-0.05236190129580399,61,0.5214493960849645,,
62,492139,0.6291210410067074,0.7356416059304667,514937,0.1797268403707638,0.2869198312236287,-0.4493942006359436,-0.448721774706838,0.1797268403707638,,,not_collapsed,3,0,-0.2246971003179709,41,0.4241994651772935,,
49,288263,0.6315829641681381,0.6895843828238333,305992,0.1912043452116395,0.29063641760201486,-0.44037861895649855,-0.3989479652218184,0.1912043452116395,,,not_collapsed,3,0,-0.22018930947824839,41,0.6253496823446365,,
23,563,0.2664298401420959,0.37220843672456577,448,0.20089285714285715,0.2786377708978328,-0.06553698299923877,-0.09357066582673296,0.19002375296912113,,,not_collapsed,3,0,-0.03276849149961926,91,0.29910714285714285,,
58,7616,0.504858193277311,0.5822228952150212,8667,0.21587631244952118,0.266353477115809,-0.28898188082778975,-0.31586941809921226,0.21587631244952118,,,not_collapsed,3,0,-0.14449094041389432,61,0.19003115264797507,,
48,24684,0.5375952033706044,0.639718466025502,24953,0.24049212519536728,0.3420055281680107,-0.2971030781752371,-0.29771293785749126,0.24049212519536728,,,not_collapsed,3,0,-0.14855153908761792,44,0.275157295715946,,
80,1007,0.23535253227408143,0.31432360742705573,1045,0.24210526315789474,0.3182389937106918,0.006752730883813313,0.00391538628363608,0.23535253227408143,,,not_collapsed,3,0,0.0033763654419066516,98,0.29473684210526313,,
60,65067,0.5546590437548988,0.643321241722297,69798,0.25813060546147454,0.3328991251166357,-0.2965284382934243,-0.31042211660566127,0.25813060546147454,,,not_collapsed,3,0,-0.1482642191467115,101,0.3339350697727729,,
47,44686,0.5617419325963389,0.6886221795487278,44337,0.269323589778289,0.395731495136622,-0.29241834281804985,-0.29289068441210586,0.2628913694527634,,,not_collapsed,3,0,-0.14620917140902426,101,0.1741209373660825,,
50,338245,0.6567901964552322,0.7543996970936955,378241,0.2788751087269757,0.3962554048317599,-0.3779150877282565,-0.35814429226193556,0.2788751087269757,,,not_collapsed,3,0,-0.18895754386412753,61,0.48996010480090735,,
34,665,0.2857142857142857,0.41804180418041803,588,0.282312925170068,0.40487804878048783,-0.003401360544217691,-0.0131637553999302,0.27706422018348625,,,not_collapsed,3,0,-0.0017006802721088706,97,0.21258503401360543,,
52,32141,0.5397467409228088,0.5871423011185758,35424,0.3220980126467931,0.34551152966826654,-0.21764872827601572,-0.24163077145030926,0.30164281067013665,,,not_collapsed,3,0,-0.10882436413800742,41,0.3389792231255646,,
85,3239,0.29391787588761964,0.3216216216216216,3364,0.34720570749108204,0.4203707036170596,0.0532878316034624,0.09874908199543797,0.29391787588761964,,,not_collapsed,3,0,0.02664391580173129,21,0.07758620689655173,,
2,460,0.3934782608695652,0.5186246418338109,529,0.3742911153119093,0.4981132075471698,-0.019187145557655938,-0.02051143428664104,0.3742911153119093,,,not_collapsed,3,0,-0.009593572778827919,3,0.2741020793950851,,
90,4094,0.5012212994626283,0.5047970479704798,4082,0.3760411562959334,0.45074144765819996,-0.1251801431666949,-0.054055600312279795,0.3760411562959334,,,not_collapsed,3,0,-0.0625900715833472,17,0.09701126898579128,,
94,2685,0.4312849162011173,0.476641284214859,2514,0.37629276054097055,0.4369515011547344,-0.05499215566014676,-0.039689783060124606,0.37629276054097055,,,not_collapsed,3,0,-0.027496077830073243,64,0.08432776451869531,,
56,17410,0.6684663986214819,0.7556652165443802,19111,0.39547904348281093,0.5276827480276478,-0.272987355138671,-0.22798246851673243,0.39547904348281093,,,not_collapsed,3,0,-0.13649367756933503,44,0.2324315839045576,,
21,3781,0.3694789738164507,0.42754399387911246,3386,0.3972238629651506,0.43947067472635193,0.027744889148699936,0.011926680847239468,0.3694789738164507,,,not_collapsed,3,0,0.01387244457434991,70,0.0800354400472534,,
51,3451,0.4392929585627354,0.4902182700080841,3391,0.4140371571807726,0.3617624323627931,-0.025255801381962817,-0.128455837645291,0.38833841463414637,,,not_collapsed,3,0,-0.01262790069098139,44,0.1524624004718372,,
74,2667,0.4255718035245594,0.43754818812644564,2379,0.41950399327448507,0.41002465078060807,-0.006067810250074357,-0.027523537345837568,0.36416799574694314,,,not_collapsed,3,0,-0.0030339051250371936,70,0.08406893652795293,,
0,1279,0.41594996090695857,0.5009416195856874,1156,0.4429065743944637,0.5259373394966615,0.02695661348750511,0.024995719910974157,0.41594996090695857,,,not_collapsed,3,0,0.01347830674375249,74,0.0657439446366782,,
95,570,0.5263157894736842,0.6012024048096193,590,0.47627118644067795,0.5711382113821138,-0.05004460303300623,-0.030064193427505437,0.3702928870292887,,,not_collapsed,3,0,-0.025022301516503115,67,0.15593220338983052,,
96,271,0.5461254612546126,0.6192468619246861,299,0.5016722408026756,0.5847953216374269,-0.044453220451937,-0.034451540287259275,0.5016722408026756,,,not_collapsed,3,0,-0.02222661022596834,89,0.10702341137123746,,
70,6078,0.6855873642645607,0.6718800386971945,4661,0.5069727526281914,0.49757843756580333,-0.17861461163636927,-0.17430160113139115,0.5069727526281914,,,not_collapsed,3,0,-0.08930730581818408,88,0.08903668740613602,,
77,4003,0.5211091681239071,0.6122688582330496,4699,0.5147903809321133,0.6152867862139133,-0.0063187871917937954,0.003017927980863755,0.5036163943209215,,,not_collapsed,3,0,-0.003159393595896889,98,0.16726963183656096,,
64,5550,0.6223423423423423,0.6562796883906518,5726,0.5747467691232973,0.6166963365501733,-0.04759557321904506,-0.03958335184047845,0.5747467691232973,,,not_collapsed,3,0,-0.02379778660952227,78,0.08959133775759692,,
61,186288,0.7830670789315468,0.6295804767731173,195085,0.5944742035522977,0.364118447677969,-0.18859287537924907,-0.2654620290951483,0.5944742035522977,,,not_collapsed,3,0,-0.09429643768962413,101,0.11149498936361073,,
11,13698,0.6300189808731201,0.643285751556036,14771,0.5996885789723106,0.6240225431489961,-0.03033040190080949,-0.019263208407039878,0.5996885789723106,,,not_collapsed,3,0,-0.015165200950404583,17,0.04028163292938867,,
35,2788,0.6330703012912482,0.6781940441882806,2220,0.6342342342342342,0.5910999160369438,0.0011639329429860013,-0.08709412815133677,0.6330703012912482,,,not_collapsed,3,0,0.0005819664714930715,22,0.07837837837837838,,
42,142235,0.7799767989594685,0.7886767235863678,143052,0.6376282750328552,0.6687635638453868,-0.14234852392661324,-0.11991315974098093,0.6376282750328552,,,not_collapsed,3,0,-0.07117426196330634,61,0.0973142633447977,,
101,329789,0.7697649102911256,0.7356160632399156,331412,0.6528128130544458,0.5612694261872982,-0.11695209723667976,-0.17434663705261733,0.6482024720783487,,,not_collapsed,3,0,-0.05847604861833963,41,0.12178496855877277,,
19,196375,0.861805219605347,0.9193990444034584,205237,0.6632234928399849,0.7927064345739694,-0.198581726765362,-0.12669260982948904,0.6537523652160009,,,not_collapsed,3,0,-0.09929086338268059,101,0.23910406018407987,,
20,4720,0.9010593220338983,0.8669860360819488,4613,0.676999783221331,0.7324108818011257,-0.22405953881256724,-0.13457515428082312,0.676999783221331,,,not_collapsed,3,0,-0.11202976940628281,73,0.19618469542597008,,
6,672,0.6800595238095238,0.7504105090311987,405,0.6814814814814815,0.7520435967302452,0.00142195767195763,0.001633087699046576,0.6253298153034301,,,not_collapsed,3,0,0.000710978835978759,91,0.16790123456790124,,
72,5390,0.8330241187384044,0.8333333333333334,4835,0.6827300930713547,0.7286171504248979,-0.15029402566704975,-0.10471618290843543,0.6827300930713547,,,not_collapsed,3,0,-0.07514701283352439,35,0.13650465356773525,,
8,2941,0.7976878612716763,0.835321345914189,3183,0.6933710336160854,0.7577682403433477,-0.10431682765559092,-0.07755310557084139,0.6933710336160854,,,not_collapsed,3,0,-0.052158413827795076,25,0.08890983349041784,,
69,1269,0.7840819542947203,0.8343815513626834,898,0.700445434298441,0.7689486552567237,-0.0836365199962793,-0.0654328961059597,0.6957983193277311,,,not_collapsed,3,0,-0.0418182599981394,11,0.05790645879732739,,
68,50625,0.7174716049382716,0.7473508775539598,50594,0.7081076807526584,0.7358281301347355,-0.00936392418561316,-0.011522747419224322,0.7061918251719952,,,not_collapsed,3,0,-0.004681962092806564,13,0.23989010554611218,,
41,463746,0.8158323737563236,0.6990342386153048,488622,0.7114129122307223,0.48821635833506555,-0.10441946152560122,-0.21081788028023923,0.7114129122307223,,,not_collapsed,3,0,-0.05220973076280041,43,0.053982424041488106,,
4,15374,0.7355275139846494,0.7495442945679912,17550,0.734928774928775,0.7542690058479532,-0.0005987390558744865,0.004724711279961991,0.7220728592552762,,,not_collapsed,3,0,-0.0002993695279371701,14,0.08894586894586895,,
99,17314,0.7295252396904239,0.804804230781484,14165,0.7351217790328274,0.7965271934521533,0.00559653934240345,-0.008277037329330716,0.7295252396904239,,,not_collapsed,3,0,0.002798269671201705,29,0.15270031768443346,,
84,1331,0.7663410969196093,0.7984344422700587,1096,0.7609489051094891,0.7568058076225045,-0.005392191810120184,-0.041628634647554175,0.7131696428571429,,,not_collapsed,3,0,-0.002696095905060194,98,0.06751824817518248,,
24,1760,0.7806818181818181,0.7892016082711085,1715,0.7661807580174927,0.7775147928994083,-0.014501060164325397,-0.011686815371700243,0.7639627659574468,,,not_collapsed,3,0,-0.007250530082162651,11,0.07813411078717201,,
7,1252,0.7947284345047924,0.847890924584576,931,0.7755102040816326,0.8098710039259674,-0.019218230423159732,-0.0380199206586086,0.7755102040816326,,,not_collapsed,3,0,-0.009609115211579618,91,0.09344790547798067,,
100,10382,0.8438643806588326,0.866096584449607,11011,0.7818545091272364,0.8316267387944358,-0.062009871531596206,-0.034469845655171194,0.7818545091272364,,,not_collapsed,3,0,-0.03100493576579785,14,0.04631731904459177,,
73,4974,0.7842782468837958,0.7943392384443086,5227,0.7826669217524392,0.7544490548639926,-0.0016113251313565335,-0.03989018358031604,0.7686690223792697,,,not_collapsed,3,0,-0.0008056625656781637,37,0.05892481346852879,,
88,18728,0.7801687313114054,0.817352875363616,18595,0.7856413014251142,0.8143255295429208,0.00547257011370883,-0.003027345820695193,0.754834102395078,,,not_collapsed,3,0,0.002736285056854414,13,0.04673299273998387,,
16,842,0.8230403800475059,0.7657458563535912,1008,0.7857142857142857,0.8336842105263158,-0.037326094333220206,0.06793835417272465,0.7857142857142857,,,not_collapsed,3,0,-0.018663047166610013,14,0.04563492063492063,,
78,15099,0.7900523213457845,0.8184843390853889,15687,0.7873398355326067,0.8085761047463175,-0.002712485813177845,-0.009908234339071398,0.7826220448265275,,,not_collapsed,3,0,-0.0013562429065888545,13,0.0793013323133805,,
37,5188,0.7762143407864303,0.8146874367792838,4665,0.8012861736334406,0.8083910034602076,0.02507183284701031,-0.0062964333190761446,0.7762143407864303,,,not_collapsed,3,0,0.012535916423505043,36,0.05101822079314041,,
92,9657,0.795278036657347,0.8111533586818758,11165,0.8094043887147335,0.8279811260250126,0.014126352057386549,0.016827767343136846,0.795278036657347,,,not_collapsed,3,0,0.0070631760286932665,68,0.04863412449619346,,
98,14212,0.80622009569378,0.7567781777352135,14719,0.811807867382295,0.7580169378627842,0.005587771688515097,0.0012387601275707372,0.8041706615532119,,,not_collapsed,3,0,0.0027938858442574746,91,0.09300903593994157,,
30,32332,0.8168996659656068,0.8537212121212121,34320,0.8159382284382284,0.8529698446542796,-0.0009614375273784281,-0.0007513674669324955,0.8159382284382284,,,not_collapsed,3,0,-0.0004807187636891854,32,0.1516899766899767,,
76,20746,0.8376554516533308,0.8508825617548412,19942,0.8203790993882258,0.8439297413014882,-0.017276352265104933,-0.0069528204533529925,0.8203790993882258,,,not_collapsed,3,0,-0.00863817613255237,75,0.17686290241700933,,
31,15932,0.8327265879989957,0.8950581885646821,6026,0.8219382675074677,0.8559578328868919,-0.010788320491528003,-0.039100355677790244,0.8167727650152228,,,not_collapsed,3,0,-0.005394160245763992,32,0.13126452041154996,,
25,4371,0.8112560054907344,0.8519942335415666,3042,0.8231426692965155,0.8203112203112203,0.011886663805781073,-0.03168301323034628,0.7911791179117912,,,not_collapsed,3,0,0.0059433319028905016,65,0.0391190006574622,,
83,717,0.8158995815899581,0.8164689462665736,764,0.8232984293193717,0.8397863818424566,0.007398847729413571,0.02331743557588295,0.7595356550580431,,,not_collapsed,3,0,0.003699423864706732,36,0.04712041884816754,,
53,20979,0.8691072024405357,0.8604124392430749,23154,0.8259911894273128,0.8104672105095879,-0.04311601301322299,-0.049945228733486946,0.8259911894273128,,,not_collapsed,3,0,-0.021558006506611292,41,0.08681005441824306,,
10,4509,0.8400975826125526,0.8687077170049307,4607,0.8489255480790102,0.8783829309376755,0.008827965466457588,0.009675213932744842,0.8400975826125526,,,not_collapsed,3,0,0.004413982733228908,91,0.05383112654655958,,
18,11639,0.8538534238336627,0.8868463323219704,11116,0.8549838071248651,0.8833945252590975,0.001130383291202408,-0.003451807062872958,0.8538534238336627,,,not_collapsed,3,0,0.0005651916456012601,98,0.056854983807124865,,
38,4941,0.8328273628820076,0.8772116819441483,5000,0.8568,0.8952042628774423,0.023972637117992357,0.017992580933293922,0.8328273628820076,,,not_collapsed,3,0,0.011986318558996052,91,0.0554,,
3,13492,0.8685887933590276,0.8778277153558053,15255,0.8576204523107178,0.8710966109594513,-0.010968341048309793,-0.006731104396353937,0.8576204523107178,,,not_collapsed,3,0,-0.0054841705241548645,14,0.06352015732546706,,
1,1096,0.6815693430656934,0.7418073485600795,1106,0.8607594936708861,0.784507622579316,0.17919015060519272,0.042700274019236595,0.44410569105691056,,,not_collapsed,3,0,0.08959507530259544,36,0.05244122965641953,,
54,20723,0.8354485354437099,0.8312367966199347,18959,0.8614378395484994,0.7848338499243134,0.0259893041047895,-0.04640294669562128,0.8354485354437099,,,not_collapsed,3,0,0.012994652052394728,101,0.047207131177804736,,
