period,supported_classes,collapsed_classes,severely_collapsed_classes,collapsed_fraction,mean_recall_supported,median_recall_supported
W-2022-45,102,0,0,0.0,0.756981702303596,0.8163996237777824
W-2022-46,102,0,0,0.0,0.7046123804610952,0.7951939110825029
W-2022-47,102,1,0,0.00980392156862745,0.7096024914899013,0.8053452811740871
