method,strategy,budget,confidence_threshold,silver_samples,silver_collapse_count,silver_correct_rate,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,,0,0,,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8
self_evolving,confidence>=0.9,0,0.9,786000,5543,0.9446,0,0.7588550432313681,0.6217409875221289,0.004830564297738418,0.023592715825037695,27326,0.9484504619482285,0.8862649149815687,144172,12,9
self_evolving,confidence>=0.95,0,0.95,688791,3052,0.9665,0,0.7600687409359982,0.6213772567661873,0.004610993193295762,0.022954053944261293,27326,0.9474239103293288,0.8831807334255393,144172,12,9
self_evolving,confidence>=0.99,0,0.99,490720,526,0.9902,0,0.749422057708832,0.5901414902739144,0.0019029495718363464,0.011815077269174808,27326,0.9461615292844657,0.8486893829829736,144172,12,10
self_evolving,confidence>=0.997,0,0.997,373668,123,0.9939,0,0.7342062485027157,0.5665739402476264,0.0028910195418282952,0.01498914900090686,27326,0.9460019976139611,0.8228071297223222,144172,12,10
