strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
badge,1000,56,12127,0.78123196173827,0.8154938670109748,12137,0.7812474252286397,0.8155506816324776
badge,1000,163,1737,0.10535405872193437,0.1307609860664523,1741,0.10626076967260195,0.13186029935851745
badge,1000,174,1506,0.0949535192563081,0.14243027888446216,1507,0.09555408095554081,0.14328358208955225
badge,1000,48,3356,0.9442789034564958,0.8915459276972851,3361,0.9443617970842011,0.8916982722292457
badge,1000,38,191,0.7329842931937173,0.5725971370143149,193,0.7357512953367875,0.5760649087221096
badge,1000,69,1866,0.0026795284030010718,0.004372540445999125,1866,0.0026795284030010718,0.004372540445999125
badge,1000,104,1739,0.738355376653249,0.6192428261393779,1744,0.739105504587156,0.6201587683425547
badge,1000,47,616,0.6428571428571429,0.6655462184873949,618,0.6423948220064725,0.6655490360435876
badge,1000,66,1949,0.1590559261159569,0.16783974011911207,1955,0.16061381074168798,0.16950067476383265
badge,1000,10,1002,0.48502994011976047,0.5710928319623971,1004,0.4860557768924303,0.5720984759671747
badge,1000,109,391,0.0,0.0,393,0.0,0.0
badge,1000,26,805,0.03975155279503106,0.040583386176284084,807,0.042131350681536554,0.043010752688172046
