method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,
cade_repair_cade_score,cade_score,1000,0.7539949585132378,0.6294629128948082,0.2579250192399311,0.11933688692743966,27287,0.929155653603613,0.89254265025703,144147,9,7,890,0.7541279702908567,0.6298843098940424,0.2588377369538169,0.11993021004455266,27326,0.9291610021363371,0.8925649147309495,144172,9,7
cade_repair_margin,margin,1000,0.8081043450113407,0.6864188564767173,0.43848719170300876,0.26575525411978645,27287,0.93782563149095,0.8954736534376337,144143,5,3,890,0.8081715258658932,0.6866831043900161,0.4391056137012369,0.26670990449197474,27326,0.9378173293011126,0.8955061524428217,144172,5,3
