percentile,threshold,precision,recall,f1,n_flagged,n_drift
50,0.0567987821996212,0.03429492120783417,0.830344726633975,0.06586930647081023,661614,27326
60,0.0651230588555336,0.0382322767626882,0.7405401449169289,0.07271067897674703,529291,27326
70,0.07728524506092072,0.042701067337751815,0.6203249652345751,0.0799019550077187,396969,27326
75,0.08666582405567169,0.043569211050552135,0.527446388055332,0.08048965049297328,330807,27326
80,0.10058687627315521,0.040491826817711206,0.39215399253458244,0.07340429904237393,264646,27326
85,0.1222943663597107,0.03681386502758395,0.26740101002708044,0.06471783925495216,198485,27326
90,0.16138656437397003,0.03508838221624359,0.16991143965454147,0.058165099687439326,132323,27326
95,0.23944051563739777,0.03193676128291164,0.07732562394788846,0.04520366250213931,66162,27326
