method,overall_macro_f1,collapse_macro_f1,stable_macro_f1,collapsed_count,time_s
Static,0.7401953796542524,0.023190667436136007,0.8321626795809953,2,
Tent,0.7414693884928483,0.02338014062550672,0.8357821390188833,2,6.8
EATA,0.7402450736632026,0.023190586705947598,0.8320473239133082,2,10.3
SAR,0.7399261782853118,0.022184450056691733,0.8313833138339837,2,15.3
CoTTA,0.7405951765742224,0.022086875885112968,0.832389913653351,2,16.8
NOTE,0.7402256033952312,0.021665292973695127,0.8330574740620689,2,58.4
