percentile,threshold,precision,recall,f1,n_flagged,n_drift
50,0.06381699442863464,0.031693706602339125,0.7673644148430067,0.060873225534879664,661614,27326
60,0.0729459598660469,0.0348371031491124,0.6747785991363536,0.06625369643094546,529292,27326
70,0.08678846061229706,0.038363197126223963,0.557308058259533,0.07178496093519839,396969,27326
75,0.09729534387588501,0.039851030963673685,0.48243431164458755,0.07362069398798772,330807,27326
80,0.11284924298524857,0.03956606183354368,0.3831881724365074,0.07172605592317072,264646,27326
85,0.1368142068386078,0.038819249914350776,0.28196589328844324,0.06824321332093353,198484,27326
90,0.17929041385650635,0.04204106617897115,0.2035790090024153,0.06969038327831681,132323,27326
95,0.2642049789428711,0.04306097155466884,0.10425967942618751,0.06094899880198529,66162,27326
