period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
W-2022-47,49,41,191352,0.6253496823446365,1
W-2022-47,9,61,1252,0.5214493960849645,2
W-2022-47,50,61,185323,0.48996010480090735,3
W-2022-47,62,41,218436,0.4241994651772935,4
W-2022-47,52,41,12008,0.3389792231255646,5
W-2022-47,60,101,23308,0.3339350697727729,6
W-2022-47,71,98,460,0.3205574912891986,7
W-2022-47,23,91,134,0.29910714285714285,8
W-2022-47,80,98,308,0.29473684210526313,9
W-2022-47,48,44,6866,0.275157295715946,10
W-2022-47,2,3,145,0.2741020793950851,11
W-2022-47,80,91,252,0.24114832535885167,12
W-2022-47,68,13,12137,0.23989010554611218,13
W-2022-47,19,101,49073,0.23910406018407987,14
W-2022-47,56,44,4442,0.2324315839045576,15
W-2022-47,34,97,125,0.21258503401360543,16
W-2022-47,20,73,905,0.19618469542597008,17
W-2022-47,60,41,13594,0.19476202756525976,18
W-2022-47,58,61,1647,0.19003115264797507,19
W-2022-47,76,75,3527,0.17686290241700933,20
W-2022-47,47,101,7720,0.1741209373660825,21
W-2022-47,47,44,7573,0.17080542210794597,22
W-2022-47,58,41,1468,0.1693781008422753,23
W-2022-47,6,91,68,0.16790123456790124,24
W-2022-47,77,98,786,0.16726963183656096,25
W-2022-47,56,62,3165,0.16561142797341846,26
W-2022-47,34,63,97,0.1649659863945578,27
W-2022-47,71,91,225,0.156794425087108,28
W-2022-47,95,67,92,0.15593220338983052,29
W-2022-47,99,29,2163,0.15270031768443346,30
W-2022-47,51,44,517,0.1524624004718372,31
W-2022-47,30,32,5206,0.1516899766899767,32
W-2022-47,34,98,89,0.15136054421768708,33
W-2022-47,71,18,212,0.14773519163763066,34
W-2022-47,50,41,52616,0.13910707723382712,35
W-2022-47,72,35,660,0.13650465356773525,36
W-2022-47,95,91,79,0.13389830508474576,37
W-2022-47,31,32,791,0.13126452041154996,38
W-2022-47,56,41,2419,0.12657631730417038,39
W-2022-47,77,91,574,0.12215364971270483,40
W-2022-47,101,41,40361,0.12178496855877277,41
W-2022-47,2,4,64,0.12098298676748583,42
W-2022-47,2,14,64,0.12098298676748583,43
W-2022-47,58,59,1008,0.11630321910695743,44
W-2022-47,61,101,21751,0.11149498936361073,45
W-2022-47,23,98,49,0.109375,46
W-2022-47,48,101,2724,0.10916523063359115,47
W-2022-47,51,42,367,0.10822766145679741,48
W-2022-47,96,89,32,0.10702341137123746,49
W-2022-47,62,101,53713,0.10430984761242637,50
W-2022-47,47,41,4547,0.10255542774657735,51
W-2022-47,47,43,4366,0.09847305861921195,52
W-2022-47,42,61,13921,0.0973142633447977,53
W-2022-47,90,17,396,0.09701126898579128,54
W-2022-47,96,91,29,0.09698996655518395,55
W-2022-47,101,61,31925,0.0963302475468601,56
W-2022-47,9,41,230,0.09579341940857976,57
W-2022-47,52,49,3361,0.09487917795844625,58
W-2022-47,7,91,87,0.09344790547798067,59
W-2022-47,98,91,1369,0.09300903593994157,60
W-2022-47,64,78,513,0.08959133775759692,61
W-2022-47,70,88,415,0.08903668740613602,62
W-2022-47,4,14,1561,0.08894586894586895,63
W-2022-47,8,25,283,0.08890983349041784,64
W-2022-47,53,41,2010,0.08681005441824306,65
W-2022-47,34,39,51,0.08673469387755102,66
W-2022-47,9,101,207,0.08621407746772178,67
