period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
W-2022-46,69,67,35,0.058823529411764705,114
W-2022-46,49,50,12942,0.05881711340768413,115
W-2022-46,99,26,899,0.057550732987644834,116
W-2022-46,48,59,1059,0.05743573055645949,117
W-2022-46,41,43,20821,0.057344698899706684,118
W-2022-46,85,14,214,0.057295850066934405,119
W-2022-46,70,11,324,0.057294429708222815,120
W-2022-46,90,74,216,0.057007125890736345,121
W-2022-46,48,42,1051,0.05700184401778935,122
W-2022-46,88,13,1028,0.05647110525159306,123
W-2022-46,48,61,1028,0.0557544202191127,124
W-2022-46,85,21,207,0.05542168674698795,125
W-2022-46,42,41,5859,0.054697200257662185,126
W-2022-46,18,98,434,0.054331497245868804,127
W-2022-46,54,101,835,0.05431954202446006,128
W-2022-46,94,88,142,0.054260603744745894,129
W-2022-46,62,61,20488,0.053909689166752185,130
W-2022-46,79,91,2201,0.05347164860793936,131
W-2022-46,28,66,8849,0.05326551495816529,132
W-2022-46,80,77,43,0.05289052890528905,133
W-2022-46,3,14,608,0.052332587364434496,134
W-2022-46,0,72,54,0.05202312138728324,135
W-2022-46,0,92,54,0.05202312138728324,136
W-2022-46,10,91,182,0.051970302684180465,137
W-2022-46,94,82,136,0.05196790217806649,138
W-2022-46,39,16,571,0.051880792295111756,139
W-2022-46,73,11,219,0.051590106007067135,140
W-2022-46,37,36,180,0.05083309799491669,141
W-2022-46,8,36,137,0.05057216685123662,142
W-2022-46,71,67,6,0.05042016806722689,143
W-2022-46,71,77,6,0.05042016806722689,144
W-2022-46,23,97,21,0.0498812351543943,145
W-2022-46,38,91,181,0.049657064471879286,146
W-2022-46,47,59,1820,0.04955077593248026,147
W-2022-46,52,61,1213,0.04932498373454782,148
W-2022-46,21,17,131,0.04911886014248219,149
W-2022-46,31,28,177,0.04898975920287849,150
W-2022-46,39,13,538,0.048882427766672724,151
W-2022-46,16,90,49,0.04846686449060336,152
W-2022-46,92,68,390,0.0484472049689441,153
W-2022-46,80,18,39,0.04797047970479705,154
W-2022-46,80,79,39,0.04797047970479705,155
W-2022-46,94,68,125,0.04776461597248758,156
W-2022-46,90,4,180,0.047505938242280284,157
W-2022-46,77,79,177,0.04741494776319314,158
W-2022-46,52,57,1160,0.04716981132075472,159
W-2022-46,90,11,178,0.04697809448403273,160
W-2022-46,85,70,175,0.04685408299866131,161
W-2022-46,49,61,10192,0.04631927212572374,162
W-2022-46,67,91,733,0.0462256416724475,163
W-2022-46,50,43,13195,0.0456059946219835,164
W-2022-46,8,65,122,0.045035068290882246,165
W-2022-46,53,61,795,0.044294628928014265,166
W-2022-46,86,91,53,0.04427736006683375,167
W-2022-46,85,17,165,0.04417670682730924,168
W-2022-46,33,101,528,0.04398167430237401,169
W-2022-46,70,88,248,0.04385499557913351,170
W-2022-46,51,60,115,0.04382621951219512,171
W-2022-46,51,41,114,0.04344512195121951,172
W-2022-46,4,17,637,0.042814894475063855,173
W-2022-46,55,41,13079,0.04256517069678133,174
W-2022-46,6,98,16,0.04221635883905013,175
W-2022-46,35,4,141,0.042202933253516914,176
W-2022-46,71,84,5,0.04201680672268908,177
W-2022-46,28,32,6953,0.041852765906218024,178
W-2022-46,95,98,20,0.04184100418410042,179
W-2022-46,90,92,158,0.041699656901557136,180
W-2022-46,61,42,5964,0.04151237575521341,181
W-2022-46,42,55,4322,0.04034840408151834,182
W-2022-46,43,41,2438,0.039942331006913724,183
W-2022-46,74,13,75,0.03987240829346093,184
W-2022-46,35,22,130,0.038910505836575876,185
W-2022-46,85,11,144,0.03855421686746988,186
W-2022-46,4,3,572,0.03844602769189407,187
W-2022-46,64,88,194,0.03837784371909001,188
W-2022-46,35,88,128,0.038311882669859326,189
W-2022-46,44,101,1725,0.0381493686003052,190
W-2022-46,85,68,142,0.03801874163319947,191
W-2022-46,95,79,18,0.03765690376569038,192
