period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref,bucket,reference_period,selection_period
W-2022-47,5,78062,0.9990395574280628,0.999385104147985,0.999212300913859,-4.812897100159308e-05,-0.00014767163111140125,5.1325063951002114e-05,stable,W-2022-45,W-2022-47
W-2022-47,86,1581,0.9165588615782665,0.8962681846932321,0.9062999680204669,-0.00048252446199226195,0.004091984824724504,-0.005316138421733507,stable,W-2022-45,W-2022-47
W-2022-47,30,34320,0.8935226547543076,0.8159382284382284,0.8529698446542796,-0.0007513674669324955,-0.0009614375273784281,-0.0004962329686725164,stable,W-2022-45,W-2022-47
W-2022-47,65,11151,0.8660799860590747,0.8913998744507219,0.8785575393318014,0.0008565120558537975,-0.0013221576155725279,0.002902839220544795,stable,W-2022-45,W-2022-47
W-2022-47,97,12176,0.918365568914445,0.8657194480946123,0.8912657478650545,0.001127302710634881,-4.124133197036528e-05,0.0024367532749254295,stable,W-2022-45,W-2022-47
W-2022-47,17,164831,0.9649958725842478,0.9645333705431623,0.9647645661335688,-0.001136058887000968,0.0012870629197101469,-0.00357373870621025,stable,W-2022-45,W-2022-47
W-2022-47,15,10887,0.9905330882352941,0.9898962064847984,0.9902145449533698,0.001162039908935819,0.0004614014684781731,0.0018625878490611258,stable,W-2022-45,W-2022-47
W-2022-47,98,14719,0.7109114707282247,0.811807867382295,0.7580169378627842,0.0012387601275707372,0.005587771688515097,-0.0021385012675435577,stable,W-2022-45,W-2022-47
W-2022-47,22,10460,0.9675690919345742,0.9840344168260038,0.9757322969001802,0.001358041834625956,-0.0020934480714630554,0.004671565432807445,stable,W-2022-45,W-2022-47
W-2022-47,28,213159,0.9307021143549459,0.8937506743792193,0.9118521975326369,-0.0015544156532367737,-0.0010297324326510315,-0.002122656127984568,stable,W-2022-45,W-2022-47
W-2022-47,6,405,0.8389057750759878,0.6814814814814815,0.7520435967302452,0.001633087699046576,0.00142195767195763,0.001909438079650827,stable,W-2022-45,W-2022-47
W-2022-47,75,80627,0.952906190203415,0.9697123792278021,0.9612358307310236,0.0017298069376686653,0.0038660072596011785,-0.00034218560867893544,stable,W-2022-45,W-2022-47
W-2022-47,26,77101,0.8482670812776221,0.8986783569603507,0.8727453647722693,0.0018453918798865265,-0.002412684718002378,0.005600659413277476,stable,W-2022-45,W-2022-47
W-2022-47,89,230062,0.9777143057098617,0.9715946136258922,0.9746448535375116,0.0020106715854034674,-0.010236846053668813,0.014106690153833146,stable,W-2022-45,W-2022-47
W-2022-47,33,16272,0.9099365750528541,0.9257620452310718,0.9177810948304749,0.0023618420618245484,0.0007743423289566786,0.0038898393265230924,stable,W-2022-45,W-2022-47
W-2022-47,91,271660,0.9588742089806404,0.9783368917028639,0.9685077819522843,0.0027368632140822857,0.00211874272668644,0.003329281097853909,stable,W-2022-45,W-2022-47
W-2022-47,29,228257,0.9293887705889298,0.9312047385184244,0.9302958683473389,0.0027686877624170103,0.0006230083470909475,0.004896152635374684,stable,W-2022-45,W-2022-47
W-2022-47,40,3157,0.9747506234413965,0.9904973075704783,0.982560879811469,-0.002950651826615025,-0.0011718385169956491,-0.004679291339679037,stable,W-2022-45,W-2022-47
W-2022-47,77,4699,0.7645385587863464,0.5147903809321133,0.6152867862139133,0.003017927980863755,-0.0063187871917937954,0.022453891408189097,stable,W-2022-45,W-2022-47
W-2022-47,88,18595,0.8451836852762511,0.7856413014251142,0.8143255295429208,-0.003027345820695193,0.00547257011370883,-0.013075243295177508,stable,W-2022-45,W-2022-47
