period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-7,110,6102,9808,249.31924838245104,0.5095666358153902,46.16487831524238,1048410383.1880167,22.00054391723038,7.714075600321835,-0.0264566929561042
M-2022-7,111,1330,2817,7525.433129949472,1.0520593282994497,853.9897897032251,10.23199786487757,7.87182046998402,20.522032970421694,-0.16680822983502297
M-2022-7,112,1780,3822,3491.3742572569145,3.8966947712533586,3186.0477657441543,8138258507.393429,131.55793615394114,52.4436461554633,-0.19030907409370557
M-2022-7,113,2014,5042,131.92062248119348,0.11706826510341906,6.930574632865719,9.384651725395177,6.531916529445167,1.9176447133224739,9.554972570691156e-05
M-2022-7,114,1939,3329,148.70379900265436,0.8287363567480424,0.0,28932444.299384683,4.362464450371038,5.868046313581556,-0.10850211586358527
M-2022-7,115,13745,22978,1705.4488625636102,1.0810649286658522,3863.465218179972,53.7590723444281,35.46653176112737,69.57153723233404,-0.11099776060550837
M-2022-7,116,3519,4023,2749.963719482542,0.8007740657460012,1672.5993783824847,41.27714308880198,25.862531051433315,38.02208629209562,-0.023064564871603466
M-2022-7,117,45039,84936,5331.561167053101,0.7612328749638291,1014.2490793684123,16.698647915926607,11.342476315991732,22.95053802589302,-0.19761192808455375
M-2022-7,118,1354,3760,2166.3564721550056,0.41551706527546434,3.247415066469946,331240773.8193266,7.566842775258478,3.5850578079312583,-0.2143752128807772
M-2022-7,119,1430,2846,13845.54949211014,1.3384266471406319,74.70608190123279,139869.17077065134,7.94995143658117,14.561816824168451,-9.55264272983758e-05
M-2022-7,120,1510,2918,29294.864785369653,1.9706757327208602,66.35777612353583,118.4032277744792,116.80683311304563,16.85225207185695,-0.04507640445179406
M-2022-7,122,41710,61426,6527.076215196786,1.0850094653229314,1826.1467192835307,27.264274310360953,18.162560995781497,40.0799227017393,-0.01991901734790913
M-2022-7,123,1121,3393,31853.693699548814,2.5550859945950535,1766.240817993071,44.776810536463486,32.39116505942955,76.89287826568079,0.04542333399970455
M-2022-7,124,20257,30492,9571.192722204556,0.7795727450470817,94.85480481266337,5.030993690773376,4.285735885676318,13.139731074966313,-0.008014696795060283
M-2022-7,125,2871,3522,7131.783609163307,0.44275748141106763,1278.9034532602059,15.644605185584894,11.774523973794185,27.80506986025757,-0.10866918072128251
M-2022-7,126,1107,2112,1781.5466260675935,0.5014435513673315,794.1090721750021,74.95632587603244,46.0899431020693,17.457858484111426,-0.024846762160142033
M-2022-7,127,2163,3002,41699.373192413295,1.7668754040687316,3403.744132359903,35.616110936136096,27.71331813319755,60.81767417327059,-0.07410609829303871
M-2022-7,128,2154,2342,6108.420152525388,1.692951845393988,127.2212486530331,1200.9786375885997,43.074483102137975,14.277945134679978,-0.1270536012339757
M-2022-7,129,19427,44177,4088.492597095384,0.2802901924574396,60.0969611732335,3.059175839360273,2.6248455037016196,5.230308293737782,-0.03720889013693496
M-2022-7,130,4594,7092,1733.921366573191,0.36952555394232783,15.913665682769699,2.7415737708129617,2.0815430440603087,3.5132326480271776,0.0016535525669632012
M-2022-7,131,26165,30533,3858.006668853494,0.9347297287883971,289.86182098971614,10.620703071564433,7.975252443434684,12.975055370419655,0.03182139041440768
M-2022-7,132,10712,23157,19008.15507853202,0.5768419990400303,2235.8373228271685,28.41224621162506,20.427343853811955,40.60461821278159,-0.013350270657304097
M-2022-7,133,36135,54110,9584.168200545826,0.4757384939436719,2286.350377553711,44.10694699759393,27.79770285068041,48.84860594335742,-0.020765724668684205
M-2022-7,134,6337,10738,35517.98880320528,1.3390308562474724,1073.8237681776982,30.924557533210525,23.381027715308782,46.970319495173285,0.041800639614585355
M-2022-7,135,1882,3069,6835.0424108418,1.5201114708844987,5993.58298057189,68.26698619674217,49.65309849409952,100.77494657118393,-0.011779320312841124
M-2022-7,136,14759,22342,13834.916052702898,0.84534015798083,1991.2157331826297,89629873349.09372,934.310168954245,57.355135797203666,-0.0063660008786105005
M-2022-7,137,1585,4089,11394.594218697112,7.16700758285868,10999.94329836223,1730.2121259284427,1115.9427073135726,189.82015309665513,-0.6722723690808797
M-2022-7,138,28132,43631,19614.743002230713,2.543166432215848,529.5619241111025,22.693391065000394,16.06238028515611,27.584379612125776,-0.13222163898621497
M-2022-7,139,1011,2846,64400.82770167654,1.9614399719737838,3351.415321137203,43.12475736882543,32.737452926514464,62.4431460017593,-0.41753276189140387
M-2022-7,140,13811,71932,1385.3742587434056,0.5378627147974606,141.28162994593725,3.8084538618768353,3.189484746183375,8.85343204129214,-0.1591723541291784
M-2022-7,141,1364,2022,9500.076378313599,1.128753071057082,4525.441483128403,26.858673319169462,21.272858593415062,51.922290525177004,-0.17941866047096244
M-2022-7,142,23002,62604,4184.198750709701,0.6937163212010726,74.96005641343696,4.860554152922742,3.985284523905879,14.54227618549163,-0.07190879401235917
M-2022-7,143,2408,4384,13496.295014186231,1.4864813456362005,2998.077280415646,29.377271657992132,21.94040080341816,53.06021531448566,-0.05531429682454614
M-2022-7,144,3002,3642,894.58004072702,1.755774568738908,7.9045419473234375,880479715.4593346,25.652315820116574,13.884613052016327,-0.013814792973019685
M-2022-7,145,1697,2224,111.94501113899697,0.342170959755472,0.0,130995943.86091425,69.13714892969956,1.6998300682845802,0.0011832581458999236
M-2022-7,146,4786,4793,1707.5145857994555,1.4791126563681243,541.7743375581938,300.5311096847709,76.03748653259797,17.03833814000562,-0.058154385369936
M-2022-7,148,4632,6812,10403.081540677467,1.487493496694343,5876.541226267371,41.07953347269414,31.510229295047285,59.45479130137022,-0.008366392208459472
M-2022-7,149,32883,74194,30486.458461216473,2.5880516216437908,4186.666414085767,68.26043088435772,49.32547094657634,71.98609394799625,-0.16184515188356563
M-2022-7,150,1436,2305,354.78050380968324,0.687415029698065,9.139518969903117,212534833.34045112,14.069095496374022,10.015514511437187,-0.21762290493338232
M-2022-7,151,1469,2021,2862.357088892029,0.5671440346073511,254.3077283485957,6.140540055251513,5.220774971363667,9.796217990180423,0.005867475973697522
M-2022-7,152,336,1673,8146.101588961948,0.5077580195258019,313.351427077107,5.82837252303785,4.99077800690541,10.458691619994227,-0.01706671026246176
