period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-10,86,61,4831,0.0913163465900499,115
M-2022-10,10,117,129,0.0899581589958159,116
M-2022-10,163,61,188,0.0888468809073724,117
M-2022-10,9,82,114,0.08830364058869093,118
M-2022-10,47,151,3,0.08823529411764706,119
M-2022-10,121,51,18,0.08780487804878048,120
M-2022-10,77,72,2417,0.08749954747855049,121
M-2022-10,147,71,70,0.08739076154806492,122
M-2022-10,127,19,743,0.08694125906857009,123
M-2022-10,67,49,367,0.08526951672862454,124
M-2022-10,46,67,989,0.08442888850947584,125
M-2022-10,143,19,364,0.08429828624363131,126
M-2022-10,174,133,224,0.08290155440414508,127
M-2022-10,147,122,65,0.08114856429463171,128
M-2022-10,16,176,195,0.08108108108108109,129
M-2022-10,164,149,181,0.0809119356280733,130
M-2022-10,115,133,1702,0.08064821834723275,131
M-2022-10,28,142,943,0.08035790370685982,132
M-2022-10,101,102,4445,0.08031729396671666,133
M-2022-10,105,110,393,0.08017135862913097,134
M-2022-10,147,157,64,0.07990012484394507,135
M-2022-10,111,16,178,0.07939339875111508,136
M-2022-10,88,155,18,0.07860262008733625,137
M-2022-10,67,159,338,0.07853159851301116,138
M-2022-10,146,169,436,0.07830459770114942,139
M-2022-10,154,14,245,0.07780247697681804,140
M-2022-10,136,93,1381,0.07731929903140922,141
M-2022-10,38,133,7,0.07608695652173914,142
M-2022-10,56,14,804,0.07509807584532038,143
M-2022-10,168,110,313,0.07502396931927133,144
M-2022-10,77,71,2058,0.07450313144843065,145
M-2022-10,60,61,4437,0.07406480044068306,146
M-2022-10,143,153,317,0.07341361741547013,147
M-2022-10,171,61,549,0.0733173076923077,148
M-2022-10,119,120,192,0.07325448302174742,149
M-2022-10,29,149,2553,0.0731078720540649,150
M-2022-10,110,168,587,0.07310087173100872,151
M-2022-10,80,72,92,0.07301587301587302,152
M-2022-10,159,13,179,0.07285307285307285,153
M-2022-10,73,82,974,0.07064626097047944,154
M-2022-10,150,100,84,0.07029288702928871,155
M-2022-10,154,155,219,0.06954588758335979,156
M-2022-10,120,119,164,0.06887862242755145,157
M-2022-10,9,26,88,0.06816421378776143,158
M-2022-10,77,175,1875,0.06787821742750606,159
M-2022-10,174,117,183,0.06772760917838638,160
M-2022-10,72,175,697,0.06749297956812239,161
M-2022-10,30,175,66,0.06659939455095863,162
M-2022-10,66,142,281,0.0664931377188831,163
M-2022-10,127,149,559,0.06541071846477885,164
M-2022-10,38,128,6,0.06521739130434782,165
M-2022-10,50,120,202,0.06495176848874598,166
M-2022-10,74,77,216,0.06441992245750075,167
M-2022-10,16,153,154,0.06403326403326404,168
M-2022-10,41,43,154,0.06395348837209303,169
M-2022-10,173,122,89,0.06389088298636038,170
M-2022-10,70,71,110,0.06340057636887608,171
M-2022-10,71,175,3999,0.0626831982695111,172
M-2022-10,161,149,58,0.062432723358449946,173
M-2022-10,14,61,621,0.0620565604077146,174
M-2022-10,64,168,254,0.061800486618004864,175
M-2022-10,26,13,86,0.06142857142857143,176
M-2022-10,5,6,176,0.06064782908339077,177
M-2022-10,9,117,77,0.05964368706429125,178
M-2022-10,37,160,66,0.059192825112107626,179
M-2022-10,47,117,2,0.058823529411764705,180
M-2022-10,136,135,1019,0.05705167683780304,181
M-2022-10,143,133,246,0.05697081982399259,182
M-2022-10,170,25,174,0.05651185449821371,183
M-2022-10,56,170,598,0.055856529049131326,184
M-2022-10,138,99,998,0.05584153983885407,185
M-2022-10,74,72,187,0.05577095138681778,186
M-2022-10,14,63,556,0.05556110722494254,187
M-2022-10,150,130,66,0.055230125523012555,188
M-2022-10,148,133,295,0.055222763010108575,189
M-2022-10,162,115,14,0.054901960784313725,190
M-2022-10,105,168,269,0.05487556099551204,191
M-2022-10,111,142,122,0.054415700267618196,192
M-2022-10,141,61,100,0.05417118093174431,193
M-2022-10,141,140,100,0.05417118093174431,194
M-2022-10,159,49,133,0.05413105413105413,195
M-2022-10,11,133,108,0.053973013493253376,196
M-2022-10,105,153,264,0.05385556915544676,197
M-2022-10,166,157,163,0.05370675453047776,198
M-2022-10,121,99,11,0.05365853658536585,199
M-2022-10,92,65,96,0.05303867403314917,200
M-2022-10,105,125,259,0.05283557731538148,201
M-2022-10,14,153,528,0.052763065853902266,202
M-2022-10,41,160,123,0.051079734219269105,203
M-2022-10,166,41,155,0.051070840197693576,204
M-2022-10,74,71,170,0.05070086489710707,205
M-2022-10,49,78,2174,0.05066181953765846,206
M-2022-10,69,60,62,0.05032467532467533,207
M-2022-10,85,130,56,0.05022421524663677,208
M-2022-10,45,117,77,0.050130208333333336,209
M-2022-10,12,61,129,0.05,210
M-2022-10,61,86,1144,0.04991273996509599,211
M-2022-10,32,61,88,0.049355019629837356,212
M-2022-10,80,82,61,0.048412698412698414,213
M-2022-10,16,154,116,0.048232848232848236,214
M-2022-10,111,130,108,0.04817127564674398,215
M-2022-10,88,63,11,0.048034934497816595,216
M-2022-10,167,82,6,0.048,217
M-2022-10,166,25,144,0.04744645799011532,218
M-2022-10,135,49,141,0.047347212894560106,219
M-2022-10,89,61,29,0.04730831973898858,220
