victim,absorber,mechanism,fisher_ref,fisher_tgt,delta_fisher_pct,n_victim_ref,n_victim_tgt,n_absorber_ref,n_absorber_tgt,margin_ref,margin_tgt,margin_drop,absorber_conf_ref,absorber_conf_tgt,absorber_conf_rise
17,12,ambiguous,0.3288508951663971,0.3475322425365448,5.680795656856894,672,504,68262,39760,0.812698245048523,0.8555500507354736,-0.042851805686950684,0.0743933767080307,0.1552460938692093,0.08085271716117859
21,12,feature,0.25376829504966736,0.1750061959028244,-31.037013166450794,991,640,68262,39760,1.3038097620010376,1.7898979187011719,-0.4860881567001343,0.501654863357544,0.6040576696395874,0.10240280628204346
23,12,feature,0.37978363037109375,0.28355544805526733,-25.33763296269511,927,361,68262,39760,2.0940396785736084,1.5464327335357666,0.5476069450378418,0.09673231840133667,0.4671499729156494,0.37041765451431274
25,29,ambiguous,0.20397281646728516,0.18796810507774353,-7.846492325171474,297,992,11044,18222,1.180921196937561,1.0365697145462036,0.14435148239135742,0.15361343324184418,0.2749616503715515,0.12134821712970734
