method,budget,strategy,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,rectification,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,0,margin,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,,
memento,1000,margin,0.8081149331923593,0.680348769772719,0.39612269578920367,0.2559950409656296,27287,0.9428067960289435,0.8976983404958091,144143,6,2,True,890,0.8082266939433764,0.6806454908979219,0.39672839054380443,0.25718382536544315,27326,0.9428044280442804,0.8977488669787042,144172,6,2
memento_no_rect,1000,margin,0.8081149331923593,0.680348769772719,0.39612269578920367,0.2559950409656296,27287,0.9428067960289435,0.8976983404958091,144143,6,2,False,890,0.8082266939433764,0.6806454908979219,0.39672839054380443,0.25718382536544315,27326,0.9428044280442804,0.8977488669787042,144172,6,2
