method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,2,0.5,2.0,150,0,0,0.7480821535803704,0.6195492167693935,0.022323062285003293,0.03642294514667084,27326,0.9365063951391394,0.8710206512615792,144172,11,6,0.7480821535803704,0.6195492167693935,0.022323062285003293,0.03642294514667084,27326,0.9365063951391394,0.8710206512615792,144172,11,6,,
active_head_ft,random,200,stable_absorber,5,2,0.5,2.0,150,7,19,0.7702680742447823,0.6254039918009923,0.3093451444049929,0.09623606135842179,27319,0.9396817248459959,0.8576375752661708,144152,9,6,0.7702997742643186,0.6254353413736484,0.3094122813437752,0.09630869316172129,27326,0.9396900923896457,0.8576430268266828,144172,9,6,550,0.15506310760974884
active_head_ft,random,500,stable_absorber,5,2,0.5,2.0,150,11,45,0.7882483864797702,0.6409618161318279,0.4070657148087132,0.17098917307802533,27315,0.9336756287944492,0.8732812029159108,144125,7,6,0.7883215981511893,0.6410712398330994,0.4072312083729781,0.17145985221125207,27326,0.9336972505063397,0.873298166928401,144172,7,6,1150,0.15584954619407654
active_head_ft,random,1000,stable_absorber,5,2,0.5,2.0,150,21,97,0.8013687492862431,0.6517278202117952,0.5344076176524446,0.20131052790187728,27305,0.932542078778414,0.8842983956807517,144075,6,5,0.8014999671258717,0.6519271331831156,0.534619044133792,0.2019525458338212,27326,0.9325874649723941,0.8843394513120895,144172,6,5,2150,0.15527352690696716
active_head_ft,margin,200,stable_absorber,5,2,0.5,2.0,150,10,29,0.7632712510458954,0.6346618762152503,0.38490262117440327,0.14782160319304413,27316,0.939029888533596,0.8655916989970731,144169,8,5,0.7633024971490195,0.634737835349516,0.38505452682426994,0.14801666830542187,27326,0.9390311572288655,0.8656157755531115,144172,8,5,550,0.18126901984214783
active_head_ft,margin,500,stable_absorber,5,2,0.5,2.0,150,20,52,0.7787823507309509,0.6494874898166357,0.37790229253643887,0.20847058194062573,27306,0.9320079908992537,0.8791313973218664,144164,6,4,0.7788493148200349,0.6496615562204637,0.37832101295469517,0.20910680721658445,27326,0.9320117637266598,0.879174921252378,144172,6,4,1150,0.1800939291715622
active_head_ft,margin,1000,stable_absorber,5,2,0.5,2.0,150,42,122,0.7953508809744757,0.6695588413637792,0.49303621169916434,0.27384232079602566,27284,0.9333481325267773,0.8900441196726747,144152,6,3,0.795439791600698,0.6698852544785991,0.49366903315523675,0.2748182687762774,27326,0.9333573786865689,0.8900914852868045,144172,6,3,2150,0.18503142893314362
active_head_ft,absorber_margin,200,stable_absorber,5,2,0.5,2.0,150,16,200,0.7569735810779658,0.6219225165607537,0.39051629439765656,0.11195967045760903,27310,0.9361374497985003,0.8550821213136744,144169,10,6,0.7569967103199824,0.6219996771197464,0.39076337553977897,0.11216586026784071,27326,0.9361387786810199,0.8551257348262622,144172,10,6,550,0.18559426069259644
active_head_ft,absorber_margin,500,stable_absorber,5,2,0.5,2.0,150,48,500,0.7589876686758966,0.6261469525485684,0.4671530170833639,0.16760276303921015,27278,0.9309684669062054,0.8705427418606544,144166,7,4,0.7590364177326827,0.6263236570477819,0.4677962380150772,0.1680489374734537,27326,0.9309644036289987,0.8705677510828302,144172,7,4,1150,0.1917097121477127
active_head_ft,absorber_margin,1000,stable_absorber,5,2,0.5,2.0,150,89,1000,0.7629056691390069,0.6277314106022088,0.5572199581451702,0.25570377197635324,27237,0.9263793892812053,0.874070798094192,144158,5,3,0.7629896261342519,0.6281091438760212,0.5584425089658202,0.25676152872168684,27326,0.926372665982299,0.87410609572037,144172,5,3,2150,0.19002102315425873
