class,group,reference_support,target_support,static_f1,best_proto_f1,delta_f1,static_recall,best_proto_recall,delta_recall
0,other,1414,950,0.8807339449541285,0.8696558915537018,-0.011078053400426668,0.8589473684210527,0.8778947368421053,0.0189473684210526
1,other,10792,3117,0.7320779649818302,0.7133396404919584,-0.018738324489871783,0.7109400064164261,0.7256977863330125,0.014757779916586444
2,other,7583,3678,0.47664695084642056,0.4437718717487941,-0.032875079097626436,0.6353996737357259,0.6378466557911908,0.002446982055464897
3,other,1593,743,0.9085173501577287,0.8658682634730539,-0.04264908668467482,0.9690444145356663,0.9730820995962315,0.004037685060565233
4,other,3737,869,0.7423423423423423,0.730312362516498,-0.012029979825844306,0.9482163406214039,0.9551208285385501,0.0069044879171461515
5,bad,2093,1080,0.4354605833092694,0.44129235618597323,0.0058317728767038335,0.6981481481481482,0.7777777777777778,0.0796296296296296
6,bad,2729,1684,0.44360902255639095,0.4430519719867306,-0.0005570505696603778,0.3503562945368171,0.35688836104513066,0.006532066508313561
7,other,36,33,0.125,0.11510791366906475,-0.009892086330935246,0.21212121212121213,0.24242424242424243,0.030303030303030304
8,stable,1574,1142,0.8680459770114942,0.8581466842336407,-0.009899292777853508,0.8266199649737302,0.8555166374781086,0.02889667250437833
9,other,1547,910,0.23937007874015748,0.26750700280112044,0.028136924060962965,0.16703296703296702,0.2098901098901099,0.04285714285714287
10,bad,2020,1004,0.16184971098265896,0.23106947697111632,0.06921976598845736,0.09760956175298804,0.14741035856573706,0.049800796812749015
11,bad,1685,1749,0.22343522561863174,0.23453869550523826,0.011103469886606515,0.1755288736420812,0.198399085191538,0.022870211549456815
12,bad,2788,263,0.23184357541899442,0.19017094017094016,-0.04167263524805426,0.3155893536121673,0.33840304182509506,0.022813688212927785
13,other,2093,1090,0.3990514905149051,0.35325365205843295,-0.04579783845647217,0.5403669724770642,0.6100917431192661,0.06972477064220184
14,bad,10401,5821,0.2579329472224488,0.2467729012730348,-0.011160045949414,0.271602817385329,0.2381034186565882,-0.033499398728740776
15,stable,751,715,0.8106551475881929,0.7853624208304011,-0.025292726757791817,0.7874125874125875,0.7804195804195804,-0.006993006993007089
16,other,2008,1186,0.22592791823561054,0.2128099173553719,-0.013118000880238623,0.17706576728499157,0.1736930860033727,-0.0033726812816188834
17,other,10007,8301,0.8305555555555556,0.8292489671175505,-0.0013065884380051296,0.9004939163956149,0.882544271774485,-0.017949644621129912
18,other,21926,25658,0.8718385454833535,0.8590884043139416,-0.012750141169411866,0.857822121755398,0.8506508691246395,-0.007171252630758462
19,other,13185,22936,0.6062648892493284,0.5749837264032848,-0.03128116284604365,0.521494593651901,0.5006539937216603,-0.020840599930240677
20,other,1281,1125,0.5622798591098302,0.4610608020698577,-0.10121905703997253,0.7804444444444445,0.792,0.011555555555555541
21,other,2620,2095,0.828643216080402,0.8379541108986616,0.00931089481825953,0.7871121718377089,0.8367541766109785,0.04964200477326963
22,other,4636,743,0.6884236453201971,0.6793103448275862,-0.009113300492610832,0.7523553162853297,0.7954239569313594,0.043068640646029666
23,other,12840,5114,0.8492664236987197,0.827154898939545,-0.022111524759174772,0.8885412592882284,0.8922565506452874,0.0037152913570590584
24,other,10253,4154,0.5630001569119724,0.5861552292478274,0.02315507233585501,0.43187289359653347,0.470871449205585,0.03899855560905152
25,other,54557,34385,0.8588748146952195,0.8592360476418447,0.00036123294662515626,0.8508942852988222,0.8612476370510397,0.010353351752217521
