method,alpha,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
static,,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.025245587597862638,47236,0.9412229836584081,0.11637232368623558,144172
prototype_only,,0.44388613006516636,0.3502808724430357,0.15589804386484885,0.023533856507852478,47236,0.8664650556279999,0.0971527996065161,144172
logit_plus_proto,0.0,0.7519431632771048,0.6286470835004149,0.16411211787619612,0.025245587597862638,47236,0.9412229836584081,0.11637232368623558,144172
logit_plus_proto,0.05,0.7520323390735844,0.6287332022556724,0.16421796934541452,0.02526912909547108,47236,0.941264600615931,0.11637356956468864,144172
logit_plus_proto,0.1,0.7521245377784193,0.628769121064134,0.1643238208146329,0.025129479153465105,47236,0.9413200898926283,0.11638640526463205,144172
logit_plus_proto,0.3,0.7524653706954729,0.6291163646984553,0.16457786434075705,0.025148182254828864,47236,0.9415143023610687,0.11644191747320067,144172
logit_plus_proto,0.5,0.7526898216408497,0.6293831762998886,0.16476839698535015,0.025189002791065087,47236,0.9417362594678579,0.11647047388207893,144172
logit_plus_proto,1.0,0.7536488393165507,0.6301114486345654,0.16533999491912948,0.02527333607710018,47236,0.9421593652026746,0.11654206812658172,144172
logit_plus_proto,2.0,0.7543282379693915,0.6303796031831443,0.16608095520365823,0.02561406699413331,47236,0.9424298754265739,0.11728300640741225,144172
logit_plus_proto,5.0,0.752640699380077,0.627897540373213,0.1680921331188077,0.026188600670040738,47236,0.9417778764253808,0.11583503469821045,144172
