rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples
confidence,ref_p1,0.2809898525476456,0.9857462313779398,0.014253768622060127,0.7605307704574169,0.6383003385096891,0.030941408821593155,0.026643863360187228,0.049580324028889323,0.004841439391837527,0.9951585606081624,0.9690585911784069,10090,9915,0.017343904856293335,7898,7827,0.008989617624715063,18861,1304368,27342,144172
margin,ref_p1,0.027834437787532806,0.9825631088798689,0.017436891120131134,0.7606187257529097,0.6363154884542085,0.03357472021066491,0.02871416355371529,0.05465547530743705,0.00410620647559859,0.9958937935244014,0.9664252797893351,10090,9846,0.024182358771060453,7898,7722,0.02228412256267409,23073,1300156,27342,144172
confidence,ref_p2,0.33859628438949585,0.9692570220271775,0.030742977972822542,0.7696875518986019,0.6472742182236386,0.07055080096554751,0.058643503307979655,0.1221940269373414,0.009134922176289433,0.9908650778237106,0.9294491990344524,10090,9652,0.043409316154608524,7898,7662,0.029880982527222044,40680,1282549,27342,144172
margin,ref_p2,0.05898398160934448,0.9640613982916033,0.035938601708396654,0.7698957570664605,0.644218514897846,0.06769804696071977,0.058598496782033396,0.10716377122779622,0.00888522043115168,0.9911147795688483,0.9323019530392802,10090,9601,0.048463825569871166,7898,7553,0.04368194479615095,47555,1275674,27342,144172
confidence,ref_p5,0.4638032093644142,0.9155580780046386,0.08444192199536135,0.798192808377762,0.6745033526554338,0.19929046887572233,0.16710923083847157,0.3388639469061097,0.022382986987764614,0.9776170130122354,0.8007095311242777,10090,8442,0.1633300297324083,7898,6732,0.14763231197771587,111736,1211493,27342,144172
margin,ref_p5,0.16388946026563644,0.9102815914705618,0.08971840852943821,0.7970994038244565,0.6670908693821346,0.17420086314095531,0.15243710337999009,0.2685926215108335,0.023846516660655327,0.9761534833393447,0.8257991368590447,10090,8783,0.12953419226957386,7898,6940,0.12129653076728286,118718,1204511,27342,144172
confidence,ref_p10,0.6118766665458679,0.8188915146206741,0.1811084853793259,0.8460502721993095,0.7160294518123727,0.3734913320166776,0.3294927764525856,0.5643177825492875,0.048629414865577224,0.9513705851344227,0.6265086679833224,10090,6787,0.3273538156590684,7898,5588,0.2924791086350975,239648,1083581,27342,144172
margin,ref_p10,0.37893953919410706,0.8177994889773426,0.18220051102265744,0.8434272586809791,0.7079324536371965,0.34485407066052226,0.3028039065664521,0.5272301385906696,0.05085592209305552,0.9491440779069444,0.6551459293394777,10090,7400,0.26660059464816654,7898,5844,0.2600658394530261,241093,1082136,27342,144172
confidence,ref_p15,0.7473128139972687,0.7266043897163681,0.2733956102836319,0.8904711980895801,0.7524920402871378,0.6070514227196255,0.5836446284711283,0.7085691977357017,0.07611047914990428,0.9238895208500957,0.3929485772803745,10090,2998,0.7028741328047572,7898,2861,0.6377563940238036,361765,961464,27342,144172
margin,ref_p15,0.5944498777389526,0.7280682330873945,0.27193176691260545,0.8882666719258129,0.7479033309709346,0.5778289810547875,0.5509698906341419,0.6943197345305485,0.07969647365646589,0.9203035263435341,0.4221710189452125,10090,3427,0.6603567888999009,7898,2981,0.6225626740947074,359828,963401,27342,144172
