class,fd,ref_count,tgt_count,count_ratio,margin_drop,conf_drop,entropy_rise,fd_zscore,collapse_score,status
137,127.47305989585918,4183,857,0.2795366342622763,4.314932346343994,0.16199475526809692,0.49029773473739624,14.515023021299697,0.8596676549725233,ok
172,84.43403759202948,7543,7627,1.3796070757165555,2.6334869861602783,0.07043856382369995,0.20046579837799072,9.121666367713438,0.3699100114457798,ok
45,78.55670027983076,2163,1344,0.8477904570201145,2.4335904121398926,0.10083752870559692,0.3206651210784912,8.385158552216495,0.48140413435114,ok
47,65.801392962773,3748,11,0.004004413136188424,7.949586868286133,0.32306039333343506,1.0850250720977783,6.786750458711323,0.9983982347455247,ok
15,60.89556658009236,628,469,1.018964311486631,2.191720724105835,0.05384868383407593,0.17338693141937256,6.171985765043658,0.31343046868293967,ok
164,57.04703181113533,3183,8445,3.620001827001312,3.894105911254883,0.22368085384368896,0.5239970684051514,5.689713643335506,0.5959637056405592,ok
147,56.305128486090524,2133,538,0.3441416167466056,4.515028476715088,0.23293370008468628,0.7195279598236084,5.596743380066024,0.8623433533013578,ok
56,55.7344084305235,9924,260,0.03574640461097886,12.18586540222168,0.3216320872306824,0.8754879236221313,5.525224636278166,0.9857014381556085,ok
167,55.49878526142882,611,251,0.5605034442855211,5.228339672088623,0.5370603799819946,1.593201994895935,5.495697948199501,0.7757986222857916,ok
30,54.45562634831188,8111,321,0.05399784220590873,2.711298942565918,0.040508925914764404,0.1333654522895813,5.364976389863673,0.7087740139084595,ok
177,50.880909591040194,1543,2449,2.1655520841294638,3.54896879196167,0.11656516790390015,0.2960807681083679,4.91701727333416,0.46809554129112,ok
149,50.078688972255485,74935,51916,0.9452839554208636,2.6406588554382324,0.11182844638824463,0.32189860939979553,4.816488458310832,0.4623816269730629,ok
16,48.70901651590306,1026,663,0.8816819340802662,1.0723860263824463,0.17495059967041016,0.5411526560783386,4.644850450282828,0.49794698176977015,ok
154,48.656923819919264,2825,1639,0.7916008937099815,0.5130699872970581,0.07719367742538452,0.2582022547721863,4.638322549009789,0.3358766395168809,ok
48,46.60709192191078,5052,12,0.0032408854317499923,10.116158485412598,0.6113619804382324,1.8716527223587036,4.381451599948439,0.9739617098252377,ok
174,44.6986217428887,4091,15,0.00500273563957497,5.99918270111084,0.3585337996482849,1.123724102973938,4.142295137110206,0.9636907112285783,ok
38,41.704560099238435,58,60,1.411461482862152,1.5581910610198975,0.15067237615585327,0.48528337478637695,3.767099758064812,0.40796857337836967,ok
69,40.98191058517564,825,320,0.529226770139829,2.7340736389160156,0.2904571294784546,0.858710527420044,3.6765422510339274,0.7173315593727797,ok
36,40.87214877288322,1192,177,0.2026015601658676,4.933626651763916,0.2461262345314026,0.7477436065673828,3.6627876495362925,0.8654708819151047,ok
29,39.633658376823426,30061,25813,1.1716039635590976,1.207183599472046,0.09137207269668579,0.27903345227241516,3.507588482351739,0.2542035830533332,ok
85,39.348423079758824,2186,823,0.5136833060608567,4.235396862030029,0.0303766131401062,0.09286053478717804,3.4718447408605635,0.4834004672100799,ok
97,38.51931885369182,41690,39542,1.2941139271645645,5.776281833648682,0.14941322803497314,0.4152539372444153,3.3679470555784086,0.47322458107656684,ok
88,37.453933373409214,231,547,3.2308821793134657,0.4155592918395996,0.03189307451248169,0.02849400043487549,3.2344402154798333,0.12937760861919334,ok
14,37.08892956357076,9587,6928,0.9859864032710985,1.6329443454742432,0.21693861484527588,0.6991672515869141,3.1887004281659057,0.4383638583729652,ok
33,36.87656095930001,115,196,2.325433932924194,-0.6190688610076904,-0.08163595199584961,-0.18310892581939697,3.162087843503299,0.12648351374013198,ok
99,36.83089139759858,22444,23905,1.4532296912118643,-1.5836820602416992,-0.0007795095443725586,-0.012549087405204773,3.1563648455985147,0.1262545938239406,ok
26,36.08936966550261,2425,1758,0.9891289253509034,2.328404188156128,0.2508202791213989,0.7806485891342163,3.063442400954071,0.48057100355080207,ok
66,36.042636970516234,5403,1983,0.500764485748373,2.417794704437256,0.1326817274093628,0.4757172763347626,3.057586178438943,0.616242584402621,ok
127,35.16992340269606,3057,4374,1.9522216034798003,2.0430500507354736,0.07556486129760742,0.23646485805511475,2.9482236679606526,0.2614630061106677,ok
138,34.726097854257596,42775,17127,0.5463073630955949,2.5753703117370605,0.20312607288360596,0.5189808011054993,2.8926064781043404,0.6628018983713118,ok
169,34.639334093722155,2879,2454,1.1629971968202835,1.9609966278076172,0.036256611347198486,0.049669116735458374,2.8817338355552007,0.19334543594142162,ok
118,31.7678879083077,3741,4410,1.6084095967498937,4.090747833251953,0.3296540379524231,1.0071834325790405,2.521903789226711,0.5008761515690684,ok
6,31.71887496858482,2751,2449,1.2146299039664714,3.380943775177002,0.09706717729568481,0.2743300795555115,2.515761821997528,0.3443487756768665,ok
35,31.34230033083376,807,2076,3.509939162091408,-0.36272358894348145,0.00302278995513916,0.06392917037010193,2.4685720574682857,0.09874288229873143,ok
32,30.69482079702832,2036,1587,1.0635182027793846,0.23094987869262695,0.06326812505722046,0.16603714227676392,2.387434339537371,0.12372919044620594,ok
89,30.5125952735647,487,567,1.5885462808146722,0.3501260280609131,-0.021039307117462158,-0.0891982913017273,2.3645990801188894,0.09458396320475558,ok
141,30.134490897629767,1995,854,0.5840644124405021,1.8427581787109375,0.21075654029846191,0.6880485415458679,2.31721761923665,0.5788976453060247,ok
146,29.830326736262826,4895,4509,1.2568206670789095,4.64127254486084,0.11615961790084839,0.33077549934387207,2.279101841607916,0.37070414327363665,ok
67,29.700701378682556,562,1930,4.685616796903596,-0.2578589916229248,-0.10237061977386475,-0.28818321228027344,2.262858076128215,0.0905143230451286,ok
22,29.435568299787207,4757,953,0.2733414687258166,6.880463600158691,0.16655820608139038,0.5877636075019836,2.229633407476325,0.7689322287842596,ok
144,29.365935155136377,3614,2581,0.9744187468248404,1.059640884399414,-0.002557039260864258,0.001727662980556488,2.220907456841074,0.11431918910845978,ok
170,29.104674897123356,3572,3517,1.343404171533776,3.875413179397583,0.17838168144226074,0.5775363445281982,2.1881681036809346,0.4875267241472374,ok
161,29.007262181600687,3017,712,0.32199598605831076,3.7835235595703125,0.014987349510192871,0.052342817187309265,2.1759610067422726,0.5082400458463666,ok
101,28.656945355329125,61108,28677,0.6402969318676768,10.631044387817383,0.2536492347717285,0.7032994031906128,2.1320616920111655,0.6291636949333759,ok
173,27.73629668227445,4762,1725,0.49424863978845823,4.435504913330078,0.16280204057693481,0.5690906643867493,2.016692281168555,0.667753491018792,ok
