percentile,threshold,precision,recall,f1,n_flagged,n_drift
50,0.05962424725294113,0.032109356815303185,0.7774280904632951,0.06167155340087672,661614,27326
60,0.06787100434303284,0.03590645617164061,0.6954914733221108,0.06828740716254236,529292,27326
70,0.0796477273106575,0.0422954941065927,0.6144331405986972,0.0791430490578489,396969,27326
75,0.08849567919969559,0.04480558150220521,0.5424138183415063,0.08277371814381806,330807,27326
80,0.10071306675672531,0.04464454403240555,0.43237209983166214,0.08093241817708546,264646,27326
85,0.12187513709068298,0.04434592034662569,0.3221108102173754,0.07795900111154903,198485,27326
90,0.16285133361816406,0.05125337242958518,0.2481885383883481,0.08496138403622948,132323,27326
95,0.24162597954273224,0.061107584414014086,0.14795432921027593,0.08649238404928974,66162,27326
