method,strategy,budget,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,replay_samples,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count
static,,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,,,,,,,,,,
cade_repair_cade_score,cade_score,1000,0.760534672889492,0.6405399806938097,0.3226930838378279,0.15293525392998483,27255,0.9368375018221954,0.8831636583221908,144057,8,5,890,0.7606302461629847,0.6410039331182515,0.32412354534143306,0.15507476868624276,27326,0.9368323946397359,0.8832088535305204,144172,8,5
cade_repair_margin,margin,1000,0.8100503014228246,0.6872832772022501,0.44405760985084475,0.25615252175224795,27287,0.9391645796188507,0.8922508920605965,144143,6,3,890,0.8101167673924922,0.6875462872712442,0.44463148649637707,0.2570370950980382,27326,0.9391490719418473,0.8922846606407366,144172,6,3
